,0,1,2,3,4,5
0,1.0,8:05.89,United States,1,New York City,03.02.2018
1,,,Chrishuna Williams,(2:05.10),31.03.93,USA
2,,,Raevyn Rogers,(2.00.45),07.09.96,USA
3,,,Charlene Lipsey,(2:01.98),16.07.91,USA
4,,,Ajee' Wilson,(1:58.37),08.05.94,USA
5,2.0,8:06.24,Moskovskaya Region,1,Moskva,18.02.2011
6,,,Aleksandra Bulanova,(2:01.8e),10.06.89,RUS
7,,,Yekaterina Martynova,(2:03.1),06.08.86,RUS
8,,,Yelena Kofanova,(2:00.4),08.08.88,RUS
9,,,Anna Balakshina,(2:00.6),22.11.85,RUS
10,3.0,8:11.45,New York All Stars,2,New York City,03.02.2018
11,,,Kendra Chambers,(2:03.94),09.01.90,USA
12,,,Lynsey Sharp,(2:03.18),11.07.90,GBR
13,,,Ce'aira Brown,(2:00.45),04.11.93,USA
14,,,Cecilia Barowski,(2:03.90),07.12.92,USA
15,4.0,8:12.41,Moskovskaya Region 1,1,Moskva,28.02.2010
16,,,Tatyana Andrianova,(2:05.80),10.12.79,RUS
17,,,Oksana Spasovkhodskaya,(2:03.70),04.09.84,RUS
18,,,Yelena Kofanova,(2:02.90),08.08.88,RUS
19,,,Yevgeniya Zinurova,(1:58.01),18.06.82,RUS
20,5.0,8:14.53,Sverdlovskaya Region,1,Moskva,10.02.2008
21,,,Yevgeniya Zinurova,(2:04.01),18.06.82,RUS
22,,,Olga Kotlyarova,(2:01.8),12.04.76,RUS
23,,,Mariya Savinova,(2:06.8),13.08.85,RUS
24,,,Natalya Ignatova,(2:01.8),06.05.81,RUS
25,6.0,8:15.57,Moskovskaya Region,1,Moskva,24.02.2012
26,,,Olga Soldatova,,08.09.85,RUS
27,,,Anna Luchkina,,13.01.86,RUS
28,,,Alena Glazkova,,06.05.88,RUS
29,,,Yelena Kofanova,,08.08.88,RUS
30,7.0,8:17.65,Sverdlovskaya Region,2,Moskva,24.02.2012
31,,,Anastasiya Grigoryeva,,23.11.88,RUS
32,,,Svetlana Cherkasova,,20.05.78,RUS
33,,,Yekaterina Zavyalova,,01.03.91,RUS
34,,,Yuliya Tutayeva,,07.12.88,RUS
35,8.0,8:17.75,Jamaica,3,New York City,03.02.2018
36,,,Fellan Ferguson,(2:05.32),15.03.94,JAM
37,,,Simoya Campbell,(2:02.13),01.03.94,JAM
38,,,Kimarra McDonald,(2:07.04),14.08.87,JAM
39,,,Natoya Goule,(2:03.27),30.03.91,JAM
40,9.0,8:18.54,Moskovskaya Region,1,Volgograd,11.02.2007
41,,,Anna Balakshina,,22.11.85,RUS
42,,,Natalya Pantelyeva,,18.08.83,RUS
43,,,Anna Yemashova,,15.04.83,RUS
44,,,Oleysa Mikheyeva,,23.07.81,RUS
45,10.0,8:18.71,Russia,1,Moskva,04.02.1994
46,,,Natalya Zaytseva,,18.04.74,RUS
47,,,Olga Kuznetsova,,23.10.67,RUS
48,,,Yelena Afanasyeva,,23.02.66,RUS
49,,,Yekaterina Podkopayeva,,11.06.52,RUS
50,11.0,8:19.45,Moskovskaya Region,2,Volgograd,11.02.2007
51,,,Natalya Gorelova,,18.04.73,RUS
52,,,Anna Alminova,,17.01.85,RUS
53,,,Natalya Lavshuk,,22.02.80,RUS
54,,,Yevgeniya Zolotova,,28.04.83,RUS
55,12.0,8:20.71,Sverdlovskaya Region,3,Volgograd,11.02.2007
56,,,Natalya Ignatova,,06.05.81,RUS
57,,,Zhanna Smolina,,19.01.78,RUS
58,,,Anna Eyfert,,19.10.84,RUS
59,,,Natalya Khrushchelyova,,20.05.73,RUS
60,13.0,8:21.78,Sverdlovskaya Region,1,Moskva,15.02.2009
61,,,Irina Gornova,,03.11.86,RUS
62,,,Olga Kotlyarova,,12.04.76,RUS
63,,,Natalya Ignatova,,06.05.81,RUS
64,,,Mariya Savinova,,13.08.85,RUS
65,14.0,8:22.65,Moskovskaya Region,2,Moskva,10.02.2008
66,,,Anna Luchkina,,13.01.86,RUS
67,,,Yekaterina Kostetskaya,,31.12.86,RUS
68,,,Yelena Kofanova,,08.08.88,RUS
69,,,Tatyana Andrianova,,10.12.79,RUS
70,15.0,8:23.36,Russia II,2,Moskva,04.02.1994
71,,,Yelena Goncharova,,21.03.63,RUS
72,,,Olga Maryina,,64,RUS
73,,,Natalya Betekhtina,,08.09.61,RUS
74,,,Lidiya Vasilevskaya,,01.04.73,RUS
75,16.0,8:23.99,Sverdlovskaya Region,2,Moskva,28.02.2010
76,,,Lyubov Zorina,,08.09.84,RUS
77,,,Yuliya Tutayeva,,07.12.88,RUS
78,,,Irina Gornova,,03.11.86,RUS
79,,,Mariya Savinova,,13.08.85,RUS
80,17.0,8:24.72,Villanova University,1,Oklahoma City,14.03.1987
81,,,Gina Procaccio,(2:07.8),19.07.64,USA
82,,,Debbie Marshall,(2:03.8),05.08.65,USA
83,,,Michelle DiMuro-Ave,(2:07.5),15.05.67,USA
84,,,Celeste Halliday-Over,(2:05.7),05.05.67,USA
85,18.0,8:25.33,Moskovskaya Region,3,Moskva,28.02.2010
86,,,Olga Soldatova,,08.09.85,RUS
87,,,Aleksandra Bulanova,,10.06.89,RUS
88,,,Yelena Fesenko,,04.10.88,RUS
89,,,Anna Luchkina,,13.01.86,RUS
90,19.0,8:25.5,Villanova University,1,Gainesville,07.02.1987
91,,,Gina Procaccio,(2:05.6),19.07.64,USA
92,,,Debbie Marshall,(2:04.5),05.08.65,USA
93,,,Michelle DiMuro-Ave,(2:09.9),15.05.67,USA
94,,,Celeste Halliday-Over,(2:05.5),05.05.67,USA
95,20.0,8:26.04,Louisiana State Univer,2,Oklahoma City,14.03.1987
96,,,Jackie Bobien,(2:07.4),,USA
97,,,Kathi Rounds,(2:07.9),02.01.64,USA
98,,,Camille Cato,(2:04.8),02.05.63,CAN
99,,,Sylvia Brydson,(2:05.9),27.04.67,USA
100,21.0,8:26.77,University of Wisconsi,1,Indianapolis,13.03.1993
101,,,Nathalie Côte,(2:10.3),21.01.73,CAN
102,,,Sarah Thorsett,(2:06.7),18.03.70,USA
103,,,Kimsani Sherman,(2:07.9),28.05.68,USA
104,,,Amy Wickus,(2:01.8),25.06.72,USA
105,22.0,8:27.32,Kurskaya Region,3,Moskva,24.02.2012
106,,,Kristina Ugarova,,22.10.87,RUS
107,,,Yelena Petrova,,01.06.87,RUS
108,,,Yekaterina Kupina,,02.02.86,RUS
109,,,Yuliya Stepanova,,03.07.86,RUS
110,23.0,8:28.11,Nizhniy-Novgorod Regio,2,Moskva,15.02.2009
111,,,Yekaterina Zavyalova,,01.03.91,RUS
112,,,Ayda Bagrova,,05.06.86,RUS
113,,,Mariya Shapayeva,,07.11.86,RUS
114,,,Mariya Dryakhlova,,24.04.84,RUS
115,24.0,8:28.41,University of Wisconsi,1,Indianapolis,14.03.1992
116,,,Sarah Thorsett,(2:10.0),18.03.70,USA
117,,,Kimsani Sherman,(2:08.4),28.05.68,USA
118,,,Sue Gentes,(2:05.2),30.03.70,USA
119,,,Amy Wickus,(2:04.8),25.06.72,USA
120,25.0,8:28.67,Gazelle International,1,East Rutherfo,10.02.1989
121,,,Diana Richburg,(2:05.0),02.07.63,USA
122,,,Gail Bryant,(2:09.8),63,USA
123,,,Debbie Marshall,(2:07.1),05.08.65,USA
124,,,Pamela Simmons,(2:06.8),29.12.64,USA
125,26.0,8:28.99,Athletics West,,,01.01.1985
126,,,Doriane Lambelet,(2:09.0),,USA
127,,,Jill Haworth,(2:09.6),13.04.61,USA
128,,,Sue Addison,(2:05.3),28.07.56,USA
129,,,Lee Arbogast,(2:05.1),08.07.58,USA
130,27.0,8:29.12,Villanova University,2,East Rutherfo,10.02.1989
131,,,Kathy Fleming,(2:08.4),25.12.67,USA
132,,,Michelle DiMuro-Ave,(2:07.1),15.05.67,USA
133,,,Valerie Bertrand,(2:06.6),25.04.68,USA
134,,,Michelle Bennett,(2:07.0),20.02.69,JAM
135,28.0,8:29.14,Moskovskaya Region,3,Moskva,10.02.2008
136,,,Natalya Pantelyeva,,18.08.83,RUS
137,,,Olga Adamovich,,30.08.84,RUS
138,,,Anastasiya Fesenko,,17.06.82,RUS
139,,,Tatyana Popova,,05.01.84,RUS
140,29.0,8:29.35,University of Florida,1,Gainesville,09.03.1986
141,,,Sandra Braasch,(2:08.9),22.05.66,USA
142,,,Sonja Braasch,(2:07.2),22.05.66,USA
143,,,Chris Crowther,(2:07.3),06.12.63,USA
144,,,Susan Nash,(2:06.0),,USA
