,0,1,2,3,4,5,6,7
0,1,7.03,Inger Miller,USA,12.06.72,s2,Maebashi,07.03.1999
1,1,7.03,Laverne Jones-Ferrette,ISV,16.09.81,,Ad-Dawhah,14.03.2010
2,3,7.05,Laverne Jones-Ferrette,ISV,16.09.81,s2,Ad-Dawhah,14.03.2010
3,4,7.06,Inger Miller,USA,12.06.72,,Maebashi,07.03.1999
4,5,7.07,Inger Miller,USA,12.06.72,h3,Maebashi,07.03.1999
5,6,7.08,Angela Issajenko,CAN,28.09.58,,Indianapolis,08.03.1987
6,7,7.1,Angela Issajenko,CAN,28.09.58,h3,Indianapolis,06.03.1987
7,7,7.1,Oleysa Povh,UKR,18.10.87,,Beograd,05.03.2017
8,9,7.12,Angela Issajenko,CAN,28.09.58,,Sindelfingen,05.02.1988
9,9,7.12,Mary Onyali,NGR,03.02.68,h1,Liévin,18.02.1996
10,11,7.14,Kelli White,USA,01.04.77,,Karlsruhe,25.01.2002
11,11,7.14,Kelli White,USA,01.04.77,,Erfurt,01.02.2002
12,11,7.14,Laverne Jones-Ferrette,ISV,16.09.81,h3,Ad-Dawhah,12.03.2010
13,11,7.14,Oleysa Povh,UKR,18.10.87,,Berlin,10.02.2017
14,15,7.15,Angela Issajenko,CAN,28.09.58,,Sherbrooke,01.02.1987
15,15,7.15,Angela Issajenko,CAN,28.09.58,s2,Indianapolis,06.03.1987
16,15,7.15,Angela Issajenko,CAN,28.09.58,,Karlsruhe,07.02.1988
17,15,7.15,Kelli White,USA,01.04.77,,Stuttgart,03.02.2002
18,15,7.15,Oleysa Povh,UKR,18.10.87,,Sumy,18.02.2017
19,20,7.16,Marion Jones,USA,12.10.75,,Birmingham,20.02.2004
20,20,7.16,Oleysa Povh,UKR,18.10.87,,Düsseldorf,01.02.2017
21,20,7.16,Oleysa Povh,UKR,18.10.87,s1,Beograd,05.03.2017
22,23,7.17,Angela Issajenko,CAN,28.09.58,h2,Karlsruhe,07.02.1988
23,23,7.17,Kelli White,USA,01.04.77,,Dortmund,27.01.2002
24,23,7.17,Oleysa Povh,UKR,18.10.87,,Zaporizhzhya,14.01.2017
25,26,7.18,Ludmila Engquist,RUS,21.04.64,,Moskva,27.02.1993
26,26,7.18,Oleysa Povh,UKR,18.10.87,h4,Sumy,18.02.2017
27,28,7.2,Angela Issajenko,CAN,28.09.58,s1,Sindelfingen,05.02.1988
28,28,7.2,Oleysa Povh,UKR,18.10.87,rA,Mondeville,04.02.2017
