,0,1,2,3,4,5,6,7,8
0,1,6.85,-0.1,Marion Jones,USA,12.10.75,1,Sevilla,22.08.1999
1,1,6.85,0.8,Shelly-Ann Fraser-Pryce,JAM,27.12.86,1,Eugene,17.07.2022
2,3,6.86,-0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,1,Tokyo,31.07.2021
3,4,6.87,-0.6,Elaine Thompson-Herah,JAM,28.06.92,2,Tokyo,31.07.2021
4,5,6.88,0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,1,Berlin,17.08.2009
5,6,6.92,0.8,Shericka Jackson,JAM,16.07.94,2,Eugene,17.07.2022
6,7,6.94,-0.1,Inger Miller,USA,12.06.72,2,Sevilla,22.08.1999
7,7,6.94,-0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,1s1=,Berlin,17.08.2009
8,7,6.94,-0.1,Kerron Stewart,JAM,16.04.84,1s1=,Berlin,17.08.2009
9,7,6.94,-0.6,Shericka Jackson,JAM,16.07.94,3,Tokyo,31.07.2021
10,11,6.95,-0.3,Gail Devers,USA,19.11.66,1,Stuttgart,16.08.1993
11,12,6.96,-0.1,Ekateríni Thánou,GRE,01.02.75,3,Sevilla,22.08.1999
12,12,6.96,0.1,Kerron Stewart,JAM,16.04.84,2,Berlin,17.08.2009
13,12,6.96,-0.6,Marie-Josée Ta Lou,CIV,18.11.88,4,Tokyo,31.07.2021
14,12,6.96,0.8,Dina Asher-Smith,GBR,04.12.95,3,Eugene,17.07.2022
15,16,6.97,0.4,Marion Jones,USA,12.10.75,1,Athínai,03.08.1997
16,16,6.97,0.4,Zhanna Block,UKR,06.07.72,2,Athínai,03.08.1997
17,16,6.97,2.0,Marion Jones,USA,12.10.75,1,New Orleans,20.06.1998
18,16,6.97,-0.1,Gail Devers,USA,19.11.66,4,Sevilla,22.08.1999
19,16,6.97,0.5,Torri Edwards,USA,31.01.77,1,Eugene,28.06.2008
20,21,6.98,-0.3,Merlene Ottey,JAM,10.05.60,2,Stuttgart,16.08.1993
21,21,6.98,0.1,Sevatheda Fynes,BAH,17.10.74,1rA,Berlin,01.09.2000
22,21,6.98,0.5,Muna Lee,USA,30.10.81,2,Eugene,28.06.2008
23,24,6.99,-0.6,Gail Devers,USA,19.11.66,1s2,Stuttgart,16.08.1993
24,24,6.99,-0.1,Zhanna Block,UKR,06.07.72,5,Sevilla,22.08.1999
25,24,6.99,0.5,Lauryn Williams,USA,11.09.83,3,Eugene,28.06.2008
26,27,7.0,-0.6,Silke Möller,GER,20.06.64,1,Roma,30.08.1987
27,27,7.0,-0.3,Gwen Torrence,USA,12.06.65,3,Stuttgart,16.08.1993
28,27,7.0,-0.3,Irina Privalova,RUS,12.11.68,4,Stuttgart,16.08.1993
29,27,7.0,-0.1,Christine Arron,FRA,13.09.73,6,Sevilla,22.08.1999
30,27,7.0,0.5,Angela Williams,USA,30.01.80,4,Eugene,28.06.2008
31,27,7.0,-0.1,Carmelita Jeter,USA,24.11.79,1s2,Berlin,17.08.2009
32,27,7.0,0.8,Elaine Thompson-Herah,JAM,28.06.92,4,Eugene,17.07.2022
33,27,7.0,0.8,Mujinga Kambundji,SUI,17.06.92,5,Eugene,17.07.2022
34,35,7.01,-0.6,Irina Privalova,RUS,12.11.68,2s2,Stuttgart,16.08.1993
35,35,7.01,0.1,Carmelita Jeter,USA,24.11.79,3,Berlin,17.08.2009
36,35,7.01,-0.6,Mujinga Kambundji,SUI,17.06.92,5,Tokyo,31.07.2021
37,38,7.02,-3.0,Katrin Krabbe,GER,22.11.69,1,Tokyo,27.08.1991
