,0,1,2,3,4,5,6,7,8
0,1,6.89,3.0,Florence Griffith-Joyner,USA,21.12.59,1,Seoul,25.09.1988
1,2,6.96,3.0,Anelia Nuneva,BUL,30.06.62,2,Seoul,25.09.1988
2,3,6.99,2.2,Silke Möller,GER,20.06.64,1,Roma,30.08.1987
3,3,6.99,2.6,Florence Griffith-Joyner,USA,21.12.59,1s2,Seoul,25.09.1988
4,5,7.01,3.0,Evelyn Ashford,USA,15.04.57,3,Seoul,25.09.1988
5,6,7.02,3.0,Heike Drechsler,GER,16.12.64,4,Seoul,25.09.1988
6,7,7.03,2.8,Heike Drechsler,GER,16.12.64,2s2,Seoul,25.09.1988
7,8,7.04,2.2,Merlene Ottey,JAM,10.05.60,1s1,Roma,30.08.1987
8,9,7.05,3.0,Gwen Torrence,USA,12.06.65,5,Seoul,25.09.1988
9,10,7.07,3.0,Juliet Cuthbert,JAM,09.04.64,6,Seoul,25.09.1988
10,11,7.1,3.0,Natalya Voronova,RUS,09.07.65,7,Seoul,25.09.1988
11,12,7.11,2.6,Nelli Cooman,NED,06.06.64,3s2=,Seoul,25.09.1988
12,12,7.11,2.6,Natalya Voronova,RUS,09.07.65,3s2=,Seoul,25.09.1988
13,12,7.11,3.0,Grace Jackson,JAM,14.06.61,8,Seoul,25.09.1988
14,15,7.14,2.6,Ulrike Sarvari,GER,22.06.64,5s2,Seoul,25.09.1988
15,16,7.15,2.3,Heike Drechsler,GER,16.12.64,1h1,Roma,29.08.1987
16,17,7.18,2.2,Pam Marshall,USA,16.08.60,2s1,Roma,30.08.1987
17,18,7.2,2.8,Marina Kislova,RUS,07.02.78,1,Bremen,23.06.2001
