,0,1,2,3,4,5,6,7
0,1,1:23.41,Keely Hodgkinson,GBR,03.03.02,1,Manchester,29.01.2023
1,2,1:23.44,Olga Kotlyarova,RUS,12.04.76,1r2,Moskva,01.02.2004
2,3,1:23.57,Athing Mu,USA,08.06.02,1,New York City,24.02.2019
3,4,1:23.59,Alysia Montaño,USA,26.04.86,1,New York City,16.02.2013
4,5,1:23.84A,Ajee' Wilson,USA,08.05.94,1,Albuquerque,05.03.2017
5,6,1:24.00A,Courtney Okolo,USA,15.03.94,2,Albuquerque,05.03.2017
6,7,1:24.02,Yuliya Stepanova,RUS,03.07.86,1rA,Moskva,06.02.2011
7,8,1:24.48,Ajee' Wilson,USA,08.05.94,1,New York City,04.02.2017
8,9,1:24.65,Shamier Little,USA,20.03.95,1,Fayetteville,13.01.2023
9,10,1:24.7,Nadezhda Olizarenko,UKR,28.11.53,1,Moskva,22.02.1987
10,11,1:24.85,Ajee' Wilson,USA,08.05.94,1,New York City,11.02.2023
11,12,1:24.88,Raevyn Rogers,USA,07.09.96,2,New York City,24.02.2019
12,13,1:25.15,Natalya Khrushchelyova,RUS,20.05.73,2r2,Moskva,01.02.2004
13,14,1:25.16,Britton Wilson,USA,13.11.00,2,Fayetteville,13.01.2023
14,15,1:25.20A,Nia Akins,USA,07.07.98,1,Albuquerque,11.02.2023
15,16,1:25.21,Courtney Okolo,USA,15.03.94,1,Lincoln,04.02.2017
16,17,1:25.23,Tatyana Firova,RUS,10.10.82,1r2,Moskva,27.01.2008
17,17,1:25.23,Ajee' Wilson,USA,08.05.94,1,New York City,21.01.2017
18,19,1:25.46,Lyubov Tsyoma,RUS,19.05.63,1,Moskva,15.02.1987
19,19,1:25.46A,Kendra Chambers,USA,09.01.90,3,Albuquerque,05.03.2017
20,21,1:25.68,Nadezhda Olizarenko,UKR,28.11.53,1,Moskva,25.02.1989
21,22,1:25.74,Marina Stepanova,RUS,01.05.50,1,Leningrad,29.01.1988
22,23,1:25.76,Natoya Goule,JAM,30.03.91,1,Clemson,28.01.2017
23,24,1:25.79+,Maria Mutola,MOZ,27.10.72,1,Maebashi,07.03.1999
24,25,1:25.81,Jennifer Meadows,GBR,17.04.81,1,Manchester,07.01.2007
25,26,1:25.87,Inna Yevseyeva,UKR,14.08.64,2,Leningrad,29.01.1988
26,26,1:25.87,Inna Yevseyeva,UKR,14.08.64,1,Moskva,21.02.1988
27,28,1:25.88,Yelena Zavadskaya,UKR,24.12.64,3,Leningrad,29.01.1988
28,28,1:25.88,Yelena Zavadskaya,UKR,24.12.64,1h,Moskva,21.02.1988
29,30,1:25.89,Marilyn Okoro,GBR,23.09.84,2,Clemson,28.01.2017
30,31,1:25.91,Ilona Usovich,BLR,14.11.82,1,Mogilyov,02.02.2008
31,31,1:25.91,Ajee' Wilson,USA,08.05.94,1,New York City,26.01.2019
32,33,1:26.0+,Ludmila Formanová,CZE,02.01.74,2,Maebashi,07.03.1999
33,34,1:26.11,Mariya Savinova,RUS,13.08.85,1r1,Yekaterinburg,07.01.2009
34,35,1:26.16,Shamier Little,USA,20.03.95,2,New York City,11.02.2023
35,36,1:26.23,Olga Kotlyarova,RUS,12.04.76,1,Omsk,24.12.2005
36,36,1:26.23,Athing Mu,USA,08.06.02,1h1,New York City,23.02.2019
37,38,1:26.33,Yelena Zavadskaya,UKR,24.12.64,2,Moskva,21.02.1988
38,38,1:26.33,Sviatlana Usovich,BLR,14.10.80,1,Minsk,22.12.2010
39,40,1:26.35,Natalya Nazarova,RUS,22.05.79,1,Moskva,06.01.2000
40,41,1:26.38,Yelena Kofanova,RUS,08.08.88,2rA,Moskva,06.02.2011
41,42,1:26.40,Allie Wilson,USA,31.03.96,3,New York City,11.02.2023
42,43,1:26.42,Irina Khlyustova,BLR,25.08.78,2,Mogilyov,02.02.2008
43,44,1:26.53,Natalya Ignatova,RUS,03.01.74,2r2,Moskva,27.01.2008
44,44,1:26.53,Raevyn Rogers,USA,07.09.96,1h4,New York City,23.02.2019
45,46,1:26.54A,Olicia Williams,USA,26.02.94,4,Albuquerque,05.03.2017
46,47,1:26.56,Delisa Walton-Floyd,USA,28.07.61,1,Pocatello,14.03.1981
47,47,1:26.56,Ajee' Wilson,USA,08.05.94,1h3,Boston,28.02.2015
48,49,1:26.57,Ajee' Wilson,USA,08.05.94,1h3,Albuquerque,04.03.2017
49,50,1:26.59,Alysia Montaño,USA,26.04.86,1,Boston,01.03.2015
50,51,1:26.66,Yelena Medvedyeva,BLR,14.07.59,1,Moskva,08.02.1985
51,52,1:26.68,Lyubov Gurina,RUS,06.08.57,1,Moskva,24.02.1991
52,52,1:26.68+,Jolanda Ceplak,SLO,12.09.76,1,Wien,03.03.2002
53,54,1:26.72,Anna Tkach,RUS,17.04.75,1,Moskva,06.01.2001
54,55,1:26.73,Kendra Chambers,USA,09.01.90,2h3,Boston,28.02.2015
55,56,1:26.74,Cecilia Barowski,USA,07.12.92,2,New York City,04.02.2017
56,57,1:26.8+,Stephanie Graf,AUT,26.04.73,2,Wien,03.03.2002
57,57,1:26.80,Vera Dodika,RUS,21.02.59,4,Leningrad,29.01.1988
58,57,1:26.80,Vera Dodika,RUS,21.02.59,3,Moskva,21.02.1988
59,60,1:26.81,Tatyana Andrianova,RUS,10.12.79,1r1,Moskva,01.02.2004
