,0,1,2,3,4,5,6
0,1,29:56.34,Elvan Abeylegesse,TUR,11.09.82,Beijing,15.08.2008
1,2,30:37.33,Inga Abitova,RUS,06.03.82,Beijing,15.08.2008
2,3,31:03.90,Sun Yingjie,CHN,03.10.77,Nanjing,17.10.2005
3,4,31:07.88,Yelizaveta Grechshnikova,RUS,12.12.83,Moskva,11.06.2012
4,5,31:16.56,Simone Alves da Silva,BRA,12.09.84,São Paulo,03.08.2011
5,6,31:22.83,Inga Abitova,RUS,06.03.82,Barcelona,28.07.2010
6,7,31:26.94,Mariya Konovalova,RUS,14.08.74,Berlin,15.08.2009
7,8,31:36.33,Elvan Abeylegesse,TUR,11.09.82,Istanbul,12.04.2008
8,9,31:40.00,Inga Abitova,RUS,06.03.82,Cheboksary,23.07.2009
9,10,31:44.86,Meryem Erdogan,TUR,24.04.90,Barcelona,28.07.2010
10,11,31:55.97,Inga Abitova,RUS,06.03.82,Moskva,11.06.2012
11,12,31:59.40,Elvan Abeylegesse,TUR,11.09.82,Osaka,25.08.2007
