,0,1,2,3,4,5,6,7,8
0,1,12.06,2.5,Oluwatobiloba Amusan,NGR,23.04.97,1,Eugene,24.07.2022
1,2,12.23,2.5,Brittany Anderson,JAM,03.01.01,2,Eugene,24.07.2022
2,2,12.23,2.5,Jasmine Camacho-Quinn,PUR,21.08.96,3,Eugene,24.07.2022
3,4,12.27,2.4,Jasmine Camacho-Quinn,PUR,21.08.96,1,Székesfehérvár,08.08.2022
4,5,12.28,2.7,Cornelia Oschkenat,GER,29.10.61,1,Berlin,25.08.1987
5,6,12.29,3.5,Yordanka Donkova,BUL,28.09.61,1,Lausanne,24.06.1988
6,6,12.29,2.7,Gail Devers,USA,19.11.66,1,Eugene,26.05.2002
7,6,12.29,3.8,Lolo Jones,USA,05.08.82,1,Eugene,06.07.2008
8,6,12.29,3.2,Jasmine Camacho-Quinn,PUR,21.08.96,1r1,Jacksonville,29.04.2023
9,10,12.30,2.8,Brianna McNeal,USA,18.08.91,1s1,Des Moines,22.06.2013
10,11,12.31,2.5,Alia Armstrong,USA,28.12.00,4,Eugene,24.07.2022
11,12,12.32,3.9,Kendra Harrison,USA,18.09.92,1r2,Austin,26.03.2022
12,13,12.33,2.3,Brianna McNeal,USA,18.08.91,1h3,Des Moines,21.06.2013
13,13,12.33,2.5,Alia Armstrong,USA,28.12.00,1r1,Austin,26.03.2022
14,15,12.35,2.4,Bettine Jahn,GDR,03.08.58,1,Helsinki,13.08.1983
15,15,12.35,3.7,Kellie Wells,USA,16.07.82,1h4,Gainesville,16.04.2011
16,17,12.36,2.2,Dawn Nelson,USA,14.06.84,1,Eugene,28.06.2009
17,17,12.36,2.1,Tonea Marshall,USA,17.12.98,1r6,Waco,23.04.2022
18,19,12.37,2.7,Gloria Siebert,GER,13.01.64,2,Berlin,25.08.1987
19,19,12.37,3.4,Danielle Carruthers,USA,22.12.79,1s1,Eugene,26.06.2011
20,19,12.37,2.5,Kendra Harrison,USA,18.09.92,1,Des Moines,28.04.2018
21,22,12.38,2.7,Kendra Harrison,USA,18.09.92,1,Miramar,10.04.2021
22,22,12.38,2.5,Cynthia Sember,GBR,05.08.94,5,Eugene,24.07.2022
23,24,12.39,2.8,Grazyna Rabsztyn,POL,20.09.52,1,Bremen,24.06.1979
24,25,12.40,2.1,Michelle Freeman,JAM,05.05.69,1,Fukuoka,13.09.1997
25,25,12.40,3.1,Kendra Harrison,USA,18.09.92,1rA,Knoxville,14.04.2018
26,25,12.40,2.4,Oluwatobiloba Amusan,NGR,23.04.97,1h3,Birmingham,05.08.2022
27,28,12.41,2.2,Olga Shishigina,KAZ,23.12.68,1rA,Lausanne,05.07.1995
28,29,12.42,2.4,Kerstin Knabe,GDR,07.07.59,2,Helsinki,13.08.1983
29,29,12.42,2.4,Kendra Harrison,USA,18.09.92,1h2,Walnut,16.04.2022
30,31,12.43,2.7,Yvette Lewis,USA,16.03.85,1rA,Walnut,20.04.2013
31,31,12.43,4.5,Oluwatobiloba Amusan,NGR,23.04.97,1h2,Miramar,05.06.2021
32,31,12.43,3.8,Kendra Harrison,USA,18.09.92,1,Ad-Dawhah,13.05.2022
33,34,12.44,2.6,Melissa Morrison,USA,09.07.71,1,Carson,22.05.2004
34,34,12.44,3.2,Damu Cherry,USA,29.11.77,1s1,Eugene,28.06.2009
35,34,12.44,5.3,Queen Claye,USA,10.09.88,1,Clemson,17.04.2010
36,34,12.44,3.1,Queen Claye,USA,10.09.88,1h4,Des Moines,21.06.2013
37,34,12.44,2.7,Lolo Jones,USA,05.08.82,1s2,Des Moines,22.06.2013
38,34,12.44,2.7,Queen Claye,USA,10.09.88,2s2,Des Moines,22.06.2013
39,34,12.44,2.2,Oluwatobiloba Amusan,NGR,23.04.97,1,Miramar,05.06.2021
40,34,12.44,3.8,Brittany Anderson,JAM,03.01.01,2=,Ad-Dawhah,13.05.2022
41,34,12.44,3.8,Oluwatobiloba Amusan,NGR,23.04.97,2=,Ad-Dawhah,13.05.2022
42,34,12.44,2.5,Danielle Williams,JAM,14.09.92,6,Eugene,24.07.2022
43,44,12.45,2.8,Grazyna Rabsztyn,POL,20.09.52,1h2,Warszawa,13.06.1980
44,44,12.45,2.3,Gail Devers,USA,19.11.66,1s2,Sacramento,23.07.2000
45,44,12.45,2.1,Perdita Felicien,CAN,29.08.80,1,Victoria,10.07.2004
46,44,12.45,3.9,Christina Clemons,USA,29.05.90,2r2,Austin,26.03.2022
47,44,12.45,3.9,Tonea Marshall,USA,17.12.98,3r2,Austin,26.03.2022
48,49,12.46,2.6,Natalya Grigoryeva,UKR,03.12.61,1,Tallinn,05.07.1988
49,49,12.46,3.1,Queen Claye,USA,10.09.88,1h1,Philadelphia,23.04.2010
50,49,12.46,2.3,Kendra Harrison,USA,18.09.92,1h1,Eugene,26.06.2015
51,49,12.46,2.1,Alia Armstrong,USA,28.12.00,1,Oxford MS,14.05.2022
52,53,12.47,4.4,Gloria Siebert,GER,13.01.64,1rA,Berlin,13.09.1988
53,53,12.47,2.2,Virginia Crawford,USA,07.09.83,2,Eugene,28.06.2009
54,53,12.47,3.4,Virginia Crawford,USA,07.09.83,2s1,Eugene,26.06.2011
55,53,12.47,3.3,Sally Pearson,AUS,19.09.86,1rA,Lausanne,30.06.2011
56,53,12.47,3.0,Tiffany Porter,GBR,13.11.87,1rA,Gainesville,21.04.2012
57,53,12.47,2.8,Kellie Wells,USA,16.07.82,2s1,Des Moines,22.06.2013
58,53,12.47,2.4,Brianna McNeal,USA,18.08.91,1h1,Lapinlahti,21.07.2013
59,53,12.47,2.6,Jasmin Stowers,USA,23.09.91,1h2,Eugene,26.06.2015
60,61,12.48,3.1,Ludmila Engquist,SWE,21.04.64,1,Oslo,05.07.1996
61,61,12.48,2.1,Ludmila Engquist,SWE,21.04.64,2,Fukuoka,13.09.1997
62,61,12.48,3.2,Michelle Perry,USA,01.05.79,2s1,Eugene,28.06.2009
63,61,12.48,3.3,Danielle Carruthers,USA,22.12.79,2rA,Lausanne,30.06.2011
64,61,12.48,3.8,Kristina Castlin,USA,07.07.88,1r1,Clermont,02.06.2012
65,66,12.49,3.1,Yordanka Donkova,BUL,28.09.61,1,Villeneuve d'Ascq,27.06.1988
66,66,12.49,5.0,Yordanka Donkova,BUL,28.09.61,1,Dijon,12.06.1994
67,66,12.49,2.6,Damu Cherry,USA,29.11.77,1h3,Eugene,27.06.2009
68,66,12.49,3.1,Lolo Jones,USA,05.08.82,1,Edmonton,29.06.2013
69,66,12.49,3.0,Tonea Marshall,USA,17.12.98,1h2,Jacksonville,27.05.2021
70,66,12.49,2.5,Kaylah Robinson,USA,27.06.99,2r1,Austin,26.03.2022
71,66,12.49,2.4,Kendra Harrison,USA,18.09.92,2,Székesfehérvár,08.08.2022
72,73,12.50,3.2,Cornelia Oschkenat,GER,29.10.61,1rB,Berlin,13.09.1988
73,73,12.50,2.7,Svetla Dimitrova,BUL,27.01.70,1,Saint-Denis,10.06.1994
74,73,12.50,4.3,Perdita Felicien,CAN,29.08.80,1,Windsor,14.07.2007
75,73,12.50,2.3,Queen Claye,USA,10.09.88,2h1,Eugene,26.06.2015
76,73,12.50,2.6,Alaysha Johnson,USA,20.07.96,1,Houston,06.05.2022
77,78,12.51,3.2,Johanna Klier,GDR,13.09.52,1,Cottbus,17.07.1980
78,78,12.51,3.6,Sabine John,GDR,16.10.57,1,Dresden,27.07.1984
79,78,12.51,4.4,Cornelia Oschkenat,GER,29.10.61,2rA,Berlin,13.09.1988
80,78,12.51A,3.3,Yuliya Graudyn,RUS,13.11.70,1,Sestriere,31.07.1994
81,78,12.51,2.1,Ludmila Engquist,SWE,21.04.64,1h2,Oslo,05.07.1996
82,78,12.51,2.7,Miesha McKelvy,USA,26.07.76,2,Eugene,26.05.2002
83,78,12.51,2.1,Delloreen Ennis,JAM,05.03.75,1,Ad-Dawhah,14.05.2004
84,78,12.51,2.5,Kellie Wells,USA,16.07.82,1s2,Eugene,26.06.2011
85,86,12.52,5.0,Svetla Dimitrova,BUL,27.01.70,2,Dijon,12.06.1994
86,86,12.52,2.5,Ludmila Engquist,SWE,21.04.64,1h1,Karlskrona,10.08.1996
87,86,12.52,2.6,Gail Devers,USA,19.11.66,2,Carson,22.05.2004
88,86,12.52,3.1,Angela Whyte,CAN,22.05.80,2,Edmonton,29.06.2013
89,86,12.52,2.8,Sharika Nelvis,USA,10.05.90,1,Eugene,14.06.2014
90,86,12.52,2.9,Brianna McNeal,USA,18.08.91,1,Kingston,07.05.2016
91,86,12.52,2.1,Chanel Brissett,USA,10.08.99,2r6,Waco,23.04.2022
92,93,12.53,2.2,Mihaela Pogacian,ROU,27.01.58,1,Edinburgh,06.07.1990
