,0,1,2,3,4,5,6,7
0,1,3:53.09,Gudaf Tsegay,ETH,23.06.97,1,Liévin,09.02.2021
1,2,3:54.77,Gudaf Tsegay,ETH,23.06.97,1,Torun,22.02.2022
2,3,3:55.17,Genzebe Dibaba,ETH,08.02.91,1,Karlsruhe,01.02.2014
3,4,3:56.46+,Genzebe Dibaba,ETH,08.02.91,1,Stockholm,17.02.2016
4,5,3:57.19,Gudaf Tsegay,ETH,23.06.97,1,Beograd,19.03.2022
5,6,3:57.38,Gudaf Tsegay,ETH,23.06.97,1,Madrid,02.03.2022
6,7,3:57.45,Genzebe Dibaba,ETH,08.02.91,1,Karlsruhe,03.02.2018
7,8,3:57.47,Gudaf Tsegay,ETH,23.06.97,1,Liévin,15.02.2023
8,9,3:57.91,Abeba Aregawi,SWE,05.07.90,1rA,Stockholm,06.02.2014
9,10,3:58.28,Yelena Soboleva,RUS,03.10.82,1,Moskva,18.02.2006
10,11,3:58.40,Abeba Aregawi,SWE,05.07.90,1,Stockholm,21.02.2013
11,12,3:58.80,Genzebe Dibaba,ETH,08.02.91,1,Torun,10.02.2017
12,13,3:59.08,Genzebe Dibaba,ETH,08.02.91,1,Sabadell,06.02.2019
13,14,3:59.48+,Gudaf Tsegay,ETH,23.06.97,1,Torun,08.02.2023
14,15,3:59.58,Laura Muir,GBR,09.05.93,2,Liévin,09.02.2021
15,16,3:59.75,Gelete Burka,ETH,23.01.86,1,Valencia,09.03.2008
16,17,3:59.79,Maryam Yusuf Jamal,BRN,16.09.84,2,Valencia,09.03.2008
17,18,3:59.87+,Konstanze Klosterhalfen,GER,18.02.97,1,New York City,08.02.2020
18,19,3:59.98,Regina Jacobs,USA,28.08.63,1,Boston,01.02.2003
19,20,4:00.09,Gudaf Tsegay,ETH,23.06.97,1,Torun,08.02.2020
20,21,4:00.13,Genzebe Dibaba,ETH,08.02.91,1,Karlsruhe,12.02.2012
21,22,4:00.2+,Mary Slaney,USA,04.08.58,1,Houston,16.02.1980
22,22,4:00.20+,Elinor Purrier St. Pierre,USA,20.02.95,2,New York City,08.02.2020
23,24,4:00.27+,Doina Melinte,ROU,27.12.56,1,East Rutherford,09.02.1990
24,25,4:00.28,Dawit Seyaum,ETH,27.07.96,1,Boston,28.02.2016
25,26,4:00.46,Sifan Hassan,NED,01.01.93,1,Stockholm,19.02.2015
26,27,4:00.52+,Jemma Reekie,GBR,06.03.98,3,New York City,08.02.2020
27,28,4:00.60,Gudaf Tsegay,ETH,23.06.97,1,Liévin,19.02.2020
28,29,4:00.61,Abeba Aregawi,SWE,05.07.90,1,Sopot,08.03.2014
29,30,4:00.72,Natalya Gorelova,RUS,18.04.73,1rA,Moskva,27.02.2003
30,31,4:00.8,Mary Slaney,USA,04.08.58,1,New York City,08.02.1980
31,31,4:00.80+,Gabriela DeBues-Stafford,CAN,13.09.95,4,New York City,08.02.2020
32,33,4:00.83,Genzebe Dibaba,ETH,08.02.91,1,Birmingham,16.02.2013
33,34,4:01.26,Yuliya Chizhenko,RUS,30.08.79,2,Moskva,18.02.2006
34,35,4:01.27+,Paula Ivan,ROU,20.07.63,1,East Rutherford,12.02.1989
35,36,4:01.33,Genzebe Dibaba,ETH,08.02.91,1,Birmingham,18.02.2012
36,37,4:01.40,Sifan Hassan,NED,01.01.93,1,Glasgow,20.02.2016
37,38,4:01.47,Abeba Aregawi,ETH,05.07.90,1rA,Stockholm,22.02.2011
38,39,4:01.57,Lemlem Hailu,ETH,25.05.01,2,Liévin,19.02.2020
39,40,4:01.67,Regina Jacobs,USA,28.08.63,1,Birmingham,16.03.2003
40,41,4:01.77,Nuria Fernández,ESP,16.08.76,1r1,Valencia,14.02.2009
41,42,4:01.79,Hailu Lemlem,ETH,21.05.01,2,Torun,08.02.2020
42,43,4:01.81,Gudaf Tsegay,ETH,23.06.97,2,Glasgow,20.02.2016
43,44,4:01.82,Maryam Yusuf Jamal,BRN,16.09.84,1,Valencia,11.02.2006
44,45,4:01.84+,Laura Muir,GBR,09.05.93,1,Birmingham,16.02.2019
45,46,4:01.86,Dawit Seyaum,ETH,27.07.96,1,Boston,14.02.2016
46,47,4:01.90,Kutre Dulecha,ETH,22.08.78,1,Karlsruhe,15.02.2004
47,48,4:02.01,Hirut Meshesha,ETH,20.01.01,2,Liévin,15.02.2023
48,49,4:02.09,Beatrice Chepkoech,KEN,06.07.91,1,Düsseldorf,04.02.2020
49,50,4:02.12,Axumawit Embaye,ETH,18.10.94,1rA,Karlsruhe,18.01.2022
50,51,4:02.13+,Elinor Purrier St. Pierre,USA,20.02.95,1,New York City,29.01.2022
51,52,4:02.14,Hirut Meshesha,ETH,20.01.01,2rA,Karlsruhe,18.01.2022
52,53,4:02.21,Beatrice Chepkoech,KEN,06.07.91,1,Glasgow,25.02.2018
53,54,4:02.22,Hirut Meshesha,ETH,20.01.01,2,Madrid,02.03.2022
54,55,4:02.25,Genzebe Dibaba,ETH,08.02.91,1,Karlsruhe,02.02.2013
55,55,4:02.25,Lemlem Hailu,ETH,25.05.01,2,Torun,22.02.2022
56,57,4:02.29,Axumawit Embaye,ETH,18.10.94,2,Beograd,19.03.2022
57,58,4:02.3+,Doina Melinte,ROU,27.12.56,1,East Rutherford,13.02.1988
58,58,4:02.3,Lyudmila Rogachova,RUS,10.10.66,1,Moskva,14.02.1990
59,60,4:02.32,Anna Alminova,RUS,17.01.85,1r3,Moskva,15.02.2009
60,61,4:02.39,Laura Muir,GBR,09.05.93,1,Beograd,04.03.2017
61,62,4:02.43,Genzebe Dibaba,ETH,08.02.91,1,Madrid,08.02.2018
62,63,4:02.46,Rababe Arafi,MAR,12.01.91,3,Torun,08.02.2020
63,64,4:02.47,Freweyni Hailu,ETH,12.02.01,3,Liévin,15.02.2023
64,65,4:02.50,Freweyni Hailu,ETH,12.02.01,3,Torun,22.02.2022
65,66,4:02.52,Habitam Alemu,ETH,09.07.97,4,Torun,22.02.2022
66,67,4:02.54,Doina Melinte,ROU,27.12.56,1,Piræus,03.03.1985
67,68,4:02.57,Sifan Hassan,NED,01.01.93,1,Karlsruhe,31.01.2015
68,69,4:02.58,Yekaterina Rozenberg,RUS,23.01.80,2rA,Moskva,27.02.2003
69,70,4:02.66,Kelly Holmes,GBR,19.04.70,2,Birmingham,16.03.2003
70,70,4:02.66,Freweyni Hailu,ETH,12.02.01,3rA,Karlsruhe,28.01.2022
71,72,4:02.70+,Konstanze Klosterhalfen,GER,18.02.97,1,New York City,09.02.2019
72,73,4:02.74,Maryam Yusuf Jamal,BRN,16.09.84,1,Birmingham,21.02.2009
73,74,4:02.80,Yekaterina Rozenberg,RUS,23.01.80,3,Birmingham,16.03.2003
74,75,4:02.92,Axumawit Embaye,ETH,18.10.94,2,Karlsruhe,31.01.2015
75,76,4:02.96,Axumawit Embaye,ETH,18.10.94,2,Düsseldorf,04.02.2020
76,77,4:03.0,Natalia Marasescu,ROU,03.10.52,1,Budapest,10.02.1979
77,77,4:03.0+,Mary Slaney,USA,04.08.58,1,San Diego,19.02.1982
78,79,4:03.05+,Sifan Hassan,NED,01.01.93,1,New York City,11.02.2017
79,80,4:03.07+,Laura Muir,GBR,09.05.93,1,New York City,11.02.2023
80,81,4:03.08,Mary Slaney,USA,04.08.58,1,Atlanta,01.03.1997
