,0,1,2,3,4,5,6
0,1,1:25:02,Yelena Lashmanova,RUS,12.11.92,London,11.08.2012
1,2,1:25:09,Anisya Kirdyapkina,RUS,23.10.89,Sochi,26.02.2011
2,2,1:25:09,Olga Kaniskina,RUS,19.01.85,London,11.08.2012
3,4,1:25:49,Yelena Lashmanova,RUS,12.11.92,Sochi,23.02.2013
4,5,1:25:59,Anisya Kirdyapkina,RUS,23.10.89,Sochi,23.02.2013
5,5,1:25:59,Liu Hong,CHN,12.05.87,Roma,07.05.2016
6,7,1:26:17,Vera Vasilyeva,RUS,08.06.87,Cheboksary,13.06.2015
7,8,1:26:26,Anisya Kirdyapkina,RUS,23.10.89,London,11.08.2012
8,9,1:26:30,Yelena Lashmanova,RUS,12.11.92,Sochi,18.02.2012
9,10,1:26:31,Anisya Kirdyapkina,RUS,23.10.89,Taicang,03.05.2014
10,11,1:26:46,Mariya Ponomaryova,RUS,18.06.95,Cheboksary,25.06.2016
11,12,1:27:08,Anna Lukyanova,RUS,23.04.91,Sochi,18.02.2012
12,12,1:27:08,Yelena Lashmanova,RUS,12.11.92,Moskva,13.08.2013
13,14,1:27:11,Anisya Kirdyapkina,RUS,23.10.89,Moskva,13.08.2013
14,14,1:27:11,Mariya Ponomaryova,RUS,18.06.95,Sochi,19.02.2018
15,16,1:27:17,Mariya Ponomaryova,RUS,18.06.95,Tallinn,10.07.2015
16,17,1:27:38,Yelena Lashmanova,RUS,12.11.92,Saransk,13.05.2012
17,18,1:27:43,Anisya Kirdyapkina,RUS,23.10.89,Moskva,10.06.2012
18,18,1:27:43,Liu Hong,CHN,12.05.87,La Coruña,28.05.2016
19,20,1:27:44,Olga Kaniskina,RUS,19.01.85,Barcelona,28.07.2010
20,21,1:27:49,Anna Lukyanova,RUS,23.04.91,Sochi,26.02.2011
21,22,1:27:52,Yelena Lashmanova,RUS,12.11.92,Cheboksary,29.05.2021
22,23,1:27:53,Mariya Ponomaryova,RUS,18.06.95,Cheboksary,10.06.2017
23,24,1:27:54,Athanasia Tsoumeléka,GRE,02.01.82,Beijing,21.08.2008
24,25,1:28:05,Anisya Kirdyapkina,RUS,23.10.89,Sochi,22.03.2014
25,26,1:28:09,Olga Kaniskina,RUS,19.01.85,Berlin,16.08.2009
26,27,1:28:26,Olga Kaniskina,RUS,19.01.85,Adler,20.02.2010
27,28,1:28:33,Olga Kaniskina,RUS,19.01.85,Saransk,13.05.2012
28,29,1:28:35,Olga Kaniskina,RUS,19.01.85,Rio Maior,09.04.2011
29,30,1:28:39,Anisya Kirdyapkina,RUS,23.10.89,Dudince,19.05.2013
30,31,1:28:41,Nina Ochotnikova,RUS,11.03.91,Saransk,12.06.2011
31,32,1:28:44,Irina Yumanova,RUS,09.04.90,Sochi,22.03.2014
32,33,1:29:08,Yekaterina Ryzhova,RUS,29.03.94,Sochi,19.02.2018
33,34,1:29:30,Anisya Kirdyapkina,RUS,23.10.89,Kazan,10.07.2013
34,35,1:29:32,Olga Kaniskina,RUS,19.01.85,Sesto San Giovanni,01.05.2011
35,36,1:29:42,Olga Kaniskina,RUS,19.01.85,Daegu,31.08.2011
36,36,1:29:42,Svetlana Vasilyeva,RUS,24.07.92,Moskva,10.06.2012
37,38,1:29:56,Svetlana Vasilyeva,RUS,24.07.92,Cheboksary,08.06.2013
38,39,1:30:07,Svetlana Vasilyeva,RUS,24.07.92,Tampere,10.07.2013
39,40,1:30:13,Anisya Kirdyapkina,RUS,23.10.89,Daegu,31.08.2011
40,41,1:30:41,Anisya Kirdyapkina,RUS,23.10.89,Olhão,21.05.2011
41,41,1:30:41,Olena Shumkina,UKR,24.01.88,Alushta,28.02.2014
42,43,1:31:00,Anisya Kirdyapkina,RUS,23.10.89,Saransk,13.05.2012
43,44,1:31:17,Athanasia Tsoumeléka,GRE,02.01.82,Murcia,21.09.2008
44,45,1:31:41,Anna Lukyanova,RUS,23.04.91,Moskva,10.06.2012
45,46,1:31:54,Olena Shumkina,UKR,24.01.88,Moskva,13.08.2013
46,47,1:32:07,Yelena Lashmanova,RUS,12.11.92,Sesto San Giovanni,01.05.2013
47,48,1:32:27,Hanna Terliukevych,BLR,15.08.87,Brest,11.04.2015
48,49,1:32:52,Olena Shumkina,UKR,24.01.88,Taicang,03.05.2014
49,50,1:33:00,Ayman Kozhakmetova,KAZ,23.04.91,Moskva,13.08.2013
50,51,1:33:27,Anna Lukyanova,RUS,23.04.91,Olhão,21.05.2011
51,51,1:33:27,Olena Shumkina,UKR,24.01.88,Oleksandriya,13.06.2015
52,53,1:33:55,Olena Shumkina,UKR,24.01.88,Murcia,17.05.2015
