,0,1,2,3,4,5,6,7,8
0,1,21.69,3.1,Gabrielle Thomas,USA,07.12.96,1r2,Austin,26.03.2022
1,2,21.72,3.1,Tamara Clark,USA,09.01.99,2r2,Austin,26.03.2022
2,3,21.80,3.2,Kimberlyn Duncan,USA,02.08.91,1,Des Moines,23.06.2013
3,4,21.82,3.1,Irina Privalova,RUS,12.11.68,1,Lausanne,06.07.1994
4,4,21.82,5.6,Allyson Felix,USA,18.11.85,1,Eugene,06.07.2008
5,6,21.84,2.1,Gwen Torrence,USA,12.06.65,1r2,Austin,09.05.1992
6,6,21.84,2.9,Marion Jones,USA,12.10.75,1,Fukuoka,13.09.1997
7,8,21.85,2.6,Marita Koch,GDR,18.02.57,1,Karl-Marx-Stadt,27.05.1979
8,8,21.85,2.6,Bärbel Wöckel,GDR,21.03.55,1,Karl-Marx-Stadt,10.07.1982
9,8,21.85,3.2,Allyson Felix,USA,18.11.85,2,Des Moines,23.06.2013
10,11,21.89,4.1,Tamara Clark,USA,09.01.99,1,College Station,15.05.2021
11,12,21.90,2.4,Florence Griffith-Joyner,USA,21.12.59,1s2,Indianapolis,23.07.1988
12,12,21.90,3.1,Shaunae Miller-Uibo,BAH,15.04.94,1r1,Clermont,15.04.2017
13,14,21.91,2.8,Muna Lee,USA,30.10.81,1r1,Fort-de-France,08.05.2008
14,15,21.92,2.9,Merlene Ottey,JAM,10.05.60,2,Fukuoka,13.09.1997
15,16,21.94,3.0,Marion Jones,USA,12.10.75,1,Padova,07.06.1998
16,17,21.97,3.9,Gwen Torrence,USA,12.06.65,1,Saint-Denis,04.06.1992
17,17,21.97,5.3,Shania Collins,USA,14.11.96,1h5,Tampa,25.05.2018
18,19,21.99,5.6,Muna Lee,USA,30.10.81,2,Eugene,06.07.2008
19,20,22.01,2.9,Michelle-Lee Ahye,TTO,10.04.92,1r1,San Marcos,25.04.2015
20,20,22.01,2.1,Abby Steiner,USA,24.11.99,1q2,Bloomington,28.05.2022
21,20,22.01,3.1,Jenna Prandini,USA,20.11.92,1r2,Montverde,04.06.2022
22,23,22.02,3.2,Allyson Felix,USA,18.11.85,1,Eugene,28.06.2009
23,24,22.03,2.3,Gwen Torrence,USA,12.06.65,1,Sacramento,18.06.1995
24,24,22.03,2.5,Blessing Okagbare,NGR,09.10.88,1r1,Jacksonville,29.04.2021
25,26,22.04,3.5,Kimberlyn Duncan,USA,02.08.91,1,Eugene,08.06.2013
26,27,22.06,3.8,Jeneba Tarmoh,USA,27.09.89,1,Sacramento,29.06.2014
27,27,22.06,2.4,Lynna Irby-Jackson,USA,06.12.98,1h6,Tampa,25.05.2018
28,27,22.06,2.4,Mujinga Kambundji,SUI,17.06.92,1,Eugene,21.08.2021
29,27,22.06,3.1,Abby Steiner,USA,24.11.99,1,Devonshire,21.05.2023
30,31,22.07,2.5,Evelyn Ashford,USA,15.04.57,1,Walnut,17.06.1979
31,31,22.07,2.7,Evelyn Ashford,USA,15.04.57,1,Walnut,24.04.1983
32,31,22.07,4.5,Gwen Torrence,USA,12.06.65,1,Villeneuve d'Ascq,06.07.1992
33,34,22.08,2.5,Merlene Ottey,JAM,10.05.60,1,Tenerife,12.06.1990
34,34,22.08,2.3,Marion Jones,USA,12.10.75,1s1,Sacramento,23.07.2000
35,36,22.10,2.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,1,Kingston,07.05.2011
36,36,22.10,3.8,Kimberlyn Duncan,USA,02.08.91,2,Sacramento,29.06.2014
37,38,22.11,,Merlene Ottey,JAM,10.05.60,1,Lawrence,23.04.1983
