,0,1,2,3,4,5,6,7,8
0,1,21.6,2.5,Pam Marshall,USA,16.08.60,1,San José,26.06.1987
1,2,21.7,2.5,Florence Griffith-Joyner,USA,21.12.59,2,San José,26.06.1987
2,3,21.8,2.5,Grace Jackson,JAM,14.06.61,3,San José,26.06.1987
3,3,21.8,2.5,Juliet Cuthbert,JAM,09.04.64,4,San José,26.06.1987
4,5,21.9,5.7,Merlene Ottey,JAM,10.05.60,1,Baton Rouge,17.04.1983
5,5,21.9,2.5,Evelyn Ashford,USA,15.04.57,5,San José,26.06.1987
6,7,22.1,2.5,Pauline Davis-Thompson,BAH,09.07.66,6,San José,26.06.1987
7,8,22.2,2.5,Gwen Torrence,USA,12.06.65,7,San José,26.06.1987
8,8,22.2,2.5,Randy Givens,USA,27.03.62,8,San José,26.06.1987
9,8,22.2,3.0,Galina Malchugina,RUS,17.12.62,1,Ryazan,05.07.1987
10,11,22.3,,Denise Boyd,AUS,15.12.52,1,Melbourne,16.10.1982
11,11,22.3A,2.1,Maya Azarashvili,GEO,06.04.64,h,Tsakhkadzor,23.05.1987
12,11,22.3A,2.2,Yelena Kelchevskaya,BLR,07.05.55,1h,Tsakhkadzor,23.05.1987
13,11,22.3,-0.2,Zhanna Block,UKR,06.07.72,1,Kyiv,13.06.1997
14,15,22.4,,Merlene Ottey,JAM,10.05.60,1,Lincoln,04.04.1981
