,0,1,2,3,4,5,6,7
0,1,47.60,Marita Koch,GDR,18.02.57,1,Canberra,06.10.1985
1,2,47.99,Jarmila Kratochvílová,CZE,26.01.51,1,Helsinki,10.08.1983
2,3,48.14,Salwa Eid Naser,BRN,23.05.98,1,Ad-Dawhah,03.10.2019
3,4,48.16,Marita Koch,GDR,18.02.57,1,Athínai,08.09.1982
4,4,48.16,Marita Koch,GDR,18.02.57,1rA,Praha,17.08.1984
5,6,48.22,Marita Koch,GDR,18.02.57,1,Stuttgart,28.08.1986
6,7,48.25,Marie-José Pérec,FRA,09.05.68,1,Atlanta,29.07.1996
7,8,48.26,Marita Koch,GDR,18.02.57,1,Dresden,27.07.1984
8,9,48.27,Olga Bryzgina,UKR,30.06.63,2,Canberra,06.10.1985
9,10,48.36,Shaunae Miller-Uibo,BAH,15.04.94,1,Tokyo,06.08.2021
10,11,48.37,Shaunae Miller-Uibo,BAH,15.04.94,2,Ad-Dawhah,03.10.2019
11,12,48.45,Jarmila Kratochvílová,CZE,26.01.51,1,Praha,23.07.1983
12,13,48.54,Christine Mboma,NAM,22.05.03,1,Bydgoszcz,30.06.2021
13,14,48.59,Tatána Kocembová,CZE,02.05.62,2,Helsinki,10.08.1983
14,15,48.60,Marita Koch,GDR,18.02.57,1,Torino,04.08.1979
15,15,48.60,Olga Bryzgina,UKR,30.06.63,1,Moskva,17.08.1985
16,17,48.61,Jarmila Kratochvílová,CZE,26.01.51,1,Roma,06.09.1981
17,18,48.63,Cathy Freeman,AUS,16.02.73,2,Atlanta,29.07.1996
18,19,48.65,Olga Bryzgina,UKR,30.06.63,1,Seoul,26.09.1988
19,20,48.70,Sanya Richards-Ross,USA,26.02.85,1,Athínai,16.09.2006
20,21,48.73,Tatána Kocembová,CZE,02.05.62,2rA,Praha,17.08.1984
21,22,48.77,Marita Koch,GDR,18.02.57,1,Karl-Marx-Stadt,09.07.1982
22,23,48.82,Jarmila Kratochvílová,CZE,26.01.51,1,Praha,23.06.1983
23,24,48.83,Valerie Brisco,USA,06.07.60,1,Los Angeles,06.08.1984
24,24,48.83,Marie-José Pérec,FRA,09.05.68,1,Barcelona,05.08.1992
25,24,48.83,Sanya Richards-Ross,USA,26.02.85,1,Bruxelles,04.09.2009
26,27,48.85,Jarmila Kratochvílová,CZE,26.01.51,2,Athínai,08.09.1982
27,28,48.86,Jarmila Kratochvílová,CZE,26.01.51,1,Zürich,18.08.1982
28,28,48.86,Marita Koch,GDR,18.02.57,1,Erfurt,02.06.1984
29,30,48.87,Marita Koch,GDR,18.02.57,1,Bruxelles,27.08.1982
30,31,48.88,Marita Koch,GDR,18.02.57,1,Moskva,28.07.1980
31,32,48.89,Marita Koch,GDR,18.02.57,1,Potsdam,29.07.1979
32,32,48.89,Marita Koch,GDR,18.02.57,1,Berlin,15.07.1984
33,32,48.89,Ana Guevara,MEX,04.03.77,1,Saint-Denis,27.08.2003
34,35,48.92,Sanya Richards-Ross,USA,26.02.85,1,Zürich,19.08.2005
35,36,48.94,Marita Koch,GDR,18.02.57,1,Praha,31.08.1978
36,36,48.94,Sanya Richards-Ross,USA,26.02.85,1,Zürich,28.08.2009
37,38,48.96,Olga Bryzgina,UKR,30.06.63,1,Leningrad,03.08.1985
38,39,48.97,Marita Koch,GDR,18.02.57,1,Montréal,26.08.1979
39,39,48.97,Marita Koch,GDR,18.02.57,1,Berlin,22.09.1985
40,39,48.97,Shaunae Miller-Uibo,BAH,15.04.94,1,Monaco,20.07.2018
41,42,48.98,Olga Bryzgina,UKR,30.06.63,1,Kyiv,22.06.1984
42,42,48.98,Marileidy Paulino,DOM,25.10.96,1,Westwood,27.05.2023
43,44,48.99,Marileidy Paulino,DOM,25.10.96,1rA,Zürich,08.09.2022
44,45,49.00,Sanya Richards-Ross,USA,26.02.85,1,Berlin,18.08.2009
45,46,49.01y,Jarmila Kratochvílová,CZE,26.01.51,1,Köln,23.08.1981
46,47,49.02,Jarmila Kratochvílová,CZE,26.01.51,1rA,Rieti,02.09.1984
47,48,49.03,Marita Koch,GDR,18.02.57,1,Potsdam,19.08.1978
48,48,49.03,Jarmila Kratochvílová,CZE,26.01.51,1,Praha,10.07.1982
