,0,1,2,3,4,5,6,7
0,1,48.9,Olga Nazarova II,RUS,01.06.65,1,Vladivostok,13.09.1988
1,2,49.2A,Ana Fidelia Quirot,CUB,23.03.63,1,Bogotá,13.08.1989
2,3,49.8,Olga Bryzgina,UKR,30.06.63,1h,Moskva,21.08.1987
3,4,49.9,Irena Szewinska,POL,24.05.46,1,Warszawa,22.06.1974
4,4,49.9,Lyudmila Dzhigalova,UKR,22.01.62,1,Kyiv,24.06.1988
5,6,50.0,Falilat Ogunkoya,NGR,05.12.68,1,Lagos,22.06.1996
6,7,50.1,Christina Lathan,GDR,28.02.58,1,Sochi,25.04.1976
7,7,50.1,Aelita Yurchenko,UKR,01.01.65,1,Voroshilovgrad,15.05.1988
8,7,50.1A,Ana Fidelia Quirot,CUB,23.03.63,1h1,Bogotá,12.08.1989
9,7,50.1,Kseniya Aksyonova,RUS,14.01.88,1,Bishkek,21.04.2012
10,11,50.2,Charity Opara,NGR,20.05.72,1,Lagos,28.06.1997
11,12,50.3,Olga Mineyeva,RUS,01.09.52,1,Kharkov,10.08.1980
12,12,50.3,Valerie Brisco,USA,06.07.60,1,Northridge,24.05.1987
13,12,50.3,Lyudmila Dzhigalova,UKR,22.01.62,2,Vladivostok,13.09.1988
14,15,50.4,Irina Baskakova,RUS,25.08.56,1,Moskva,08.07.1984
15,15,50.4,Cathy Freeman,AUS,16.02.73,1,Eugene,26.05.1996
16,15,50.4,Olabisi Afolabi,NGR,31.10.75,2,Lagos,22.06.1996
17,18,50.5A,Evette de Klerk,RSA,21.08.65,1,Germiston,28.03.1989
18,18,50.5,Fatima Yusuf,NGR,02.05.71,1,Lagos,26.08.1990
19,18,50.5,Falilat Ogunkoya,NGR,05.12.68,2,Lagos,28.06.1997
20,18,50.5,Irina Rosikhina,RUS,11.05.75,1,Rostov,30.05.1998
21,18,50.5,Indira Terrero,CUB,29.11.85,1rA,La Habana,01.06.2008
22,18,50.5,Svetlana Pospelova,RUS,24.12.79,1r1,Tula,05.07.2008
23,24,50.6,Tatyana Prorochenko,UKR,15.03.52,1,Alushta,08.09.1977
24,24,50.6,Inna Yevseyeva,UKR,14.08.64,1,Kyiv,29.08.1986
25,24,50.6,Jillian Richardson,CAN,10.03.65,1,Caserta,10.06.1992
