,0,1,2,3,4,5
0,1.0,41.67,United States 1,,München,08.08.2004
1,,,Angela Williams,,30.01.80,USA
2,,,Marion Jones,,12.10.75,USA
3,,,Lauryn Williams,,11.09.83,USA
4,,,LaTasha Colander,,23.08.76,USA
5,1.0,41.67,United States,h1,Athínai,26.08.2004
6,,,Angela Williams,,30.01.80,USA
7,,,Marion Jones,,12.10.75,USA
8,,,Lauryn Williams,,11.09.83,USA
9,,,LaTasha Colander,,23.08.76,USA
10,3.0,41.71,United States,,Edmonton,11.08.2001
11,,,Kelli White,(10.36e),01.04.77,USA
12,,,Chryste Gaines,(10.27e),14.09.70,USA
13,,,Inger Miller,(10.33e),12.06.72,USA
14,,,Marion Jones,(9.75e),12.10.75,USA
15,4.0,42.05,United States,,Madrid,20.09.2002
16,,,Chryste Gaines,,14.09.70,USA
17,,,Marion Jones,,12.10.75,USA
18,,,Inger Miller,,12.06.72,USA
19,,,Gail Devers,,19.11.66,USA
20,5.0,42.2,United States,,Sydney,30.09.2000
21,,,Chryste Gaines,,14.09.70,USA
22,,,Torri Edwards,,31.01.77,USA
23,,,Nanceen Perry,,19.04.77,USA
24,,,Marion Jones,(9.53),12.10.75,USA
25,6.0,42.31,Russia,,Beijing,22.08.2008
26,,,Yevgeniya Polyakova,,29.05.83,RUS
27,,,Aleksandra Fedoriva,,13.09.88,RUS
28,,,Yuliya Gushchina,,04.03.83,RUS
29,,,Yuliya Chermoshanskaya,,06.01.86,RUS
30,6.0,42.31,Trinidad & Tobago,h1,London,09.08.2012
31,,,Michelle-Lee Ahye,,10.04.92,TTO
32,,,Kelly-Ann Baptiste,,14.10.86,TTO
33,,,Kai Selvon,,13.04.92,TTO
34,,,Semoy Hackett,,27.11.88,TTO
35,8.0,42.33,United States - Red,rA,Walnut,18.04.2004
36,,,Angela Daigle,,28.05.76,USA
37,,,Chryste Gaines,,14.09.70,USA
38,,,Inger Miller,,12.06.72,USA
39,,,Torri Edwards,,31.01.77,USA
40,9.0,42.36,Ukraina,,Rio de Janeiro,19.08.2016
41,,,Oleysa Povh,,18.10.87,UKR
42,,,Nataliya Pogrebnyak,,19.02.88,UKR
43,,,Mariya Ryemyen,,02.08.87,UKR
44,,,Yelizaveta Bryzgina,,28.11.89,UKR
45,10.0,42.49,Ukraina,h1,Rio de Janeiro,18.08.2016
46,,,Oleysa Povh,,18.10.87,UKR
47,,,Nataliya Pogrebnyak,,19.02.88,UKR
48,,,Mariya Ryemyen,,02.08.87,UKR
49,,,Yelizaveta Bryzgina,,28.11.89,UKR
50,11.0,42.63,United States - Red,,Philadelphia,24.04.2004
51,,,Angela Daigle,,28.05.76,USA
52,,,Chryste Gaines,,14.09.70,USA
53,,,Inger Miller,,12.06.72,USA
54,,,Marion Jones,,12.10.75,USA
55,12.0,42.67,Ukraina,,Lausanne,25.08.2016
56,,,Oleysa Povh,,18.10.87,UKR
57,,,Nataliya Pogrebnyak,,19.02.88,UKR
58,,,Hrystyna Stuy,,03.02.88,UKR
59,,,Yelizaveta Bryzgina,,28.11.89,UKR
60,13.0,42.7,United States - Red,rA,Austin,03.04.2004
61,,,Angela Daigle,,28.05.76,USA
62,,,Chryste Gaines,,14.09.70,USA
63,,,Inger Miller,,12.06.72,USA
64,,,Torri Edwards,,31.01.77,USA
65,14.0,42.76,Ukraina,,Zürich,01.09.2016
66,,,Oleysa Povh,,18.10.87,UKR
67,,,Nataliya Pogrebnyak,,19.02.88,UKR
68,,,Mariya Ryemyen,,02.08.87,UKR
69,,,Yelizaveta Bryzgina,,28.11.89,UKR
70,15.0,42.8,United States - Red,,Walnut,19.04.2003
71,,,SaDonna Thornton,,16.08.78,USA
72,,,Kelli White,,01.04.77,USA
73,,,Angela Daigle,,28.05.76,USA
74,,,Chryste Gaines,,14.09.70,USA
75,16.0,42.87,Russia,h2,Beijing,21.08.2008
76,,,Yevgeniya Polyakova,,29.05.83,RUS
77,,,Aleksandra Fedoriva,,13.09.88,RUS
78,,,Yuliya Gushchina,,04.03.83,RUS
79,,,Yuliya Chermoshanskaya,,06.01.86,RUS
80,16.0,42.87,Ukraine,,Amsterdam,10.07.2016
81,,,Oleysa Povh,,18.10.87,UKR
82,,,Nataliya Pogrebnyak,,19.02.88,UKR
83,,,Mariya Ryemyen,,02.08.87,UKR
84,,,Yelizaveta Bryzgina,,28.11.89,UKR
85,18.0,42.91,Russia,,Barcelona,01.08.2010
86,,,Yuna Mekhti-Zade,,12.03.86,RUS
87,,,Aleksandra Fedoriva,,13.09.88,RUS
88,,,Yuliya Gushchina,,04.03.83,RUS
89,,,Yuliya Chermoshanskaya,,06.01.86,RUS
90,19.0,42.93,Ukraine,h1,Amsterdam,09.07.2016
91,,,Oleysa Povh,,18.10.87,UKR
92,,,Nataliya Pogrebnyak,,19.02.88,UKR
93,,,Mariya Ryemyen,,02.08.87,UKR
94,,,Yelizaveta Bryzgina,,28.11.89,UKR
95,20.0,42.95,United States,,Berlin,01.09.2000
96,,,Chryste Gaines,,14.09.70,USA
97,,,Dawn Burrell,,01.11.73,USA
98,,,Passion Richardson,,25.01.75,USA
99,,,Marion Jones,,12.10.75,USA
100,21.0,42.98,United States,,Brisbane,07.09.2001
101,,,Jenny Adams,,08.07.78,USA
102,,,Kelli White,,01.04.77,USA
103,,,Inger Miller,,12.06.72,USA
104,,,Chryste Gaines,,14.09.70,USA
105,21.0,42.98,Russia,rA,Bergen,19.06.2010
106,,,Yevgeniya Polyakova,,29.05.83,RUS
107,,,Aleksandra Fedoriva,,13.09.88,RUS
108,,,Yuliya Gushchina,,04.03.83,RUS
109,,,Yuliya Chermoshanskaya,,06.01.86,RUS
