,0,1,2,3,4,5
0,1.0,3:29.42,Louisiana State University,1,Lexington,29.02.2004
1,,,Hazel-Ann Regis,(52.0),01.02.81,GRN
2,,,Neisha Bernard-Thomas,(53.2),21.01.81,GRN
3,,,Monique Hall,(52.9),09.10.80,USA
4,,,Nadia Davy,(51.3),24.12.80,JAM
5,2.0,3:29.53,University of South Carolina,2,Lexington,29.02.2004
6,,,Stephanie Smith,,27.06.85,USA
7,,,Shevon Stoddart,,21.11.82,JAM
8,,,Tawana Watkins,,27.03.84,USA
9,,,Lashinda Demus,,10.03.83,USA
10,3.0,3:29.78,University of Southern California,1r1,Seattle,25.02.2023
11,,,Bailey Lear,,17.03.01,USA
12,,,Jasmine Jones,,30.11.01,USA
13,,,Yemi Mary John,,03.05.03,GBR
14,,,Jan'Taijah Ford,,05.03.01,USA
15,4.0,3:29.86,Louisiana State University,1,Lexington,25.02.2007
16,,,Brooklyn Morris,,27.03.86,USA
17,,,Cynetheia Rooks,,18.02.84,USA
18,,,Rhonda Watkins,,09.12.87,TTO
19,,,Deonna Lawrence,,21.03.86,USA
