,0,1,2,3,4,5
0,1.0,3:22.71,Soviet Union,,Stuttgart,31.08.1986
1,,,Vineta Ikauniece,(51.9),04.12.62,LAT
2,,,Olga Nazarova II,(51.2),01.06.65,RUS
3,,,Marina Stepanova,(49.9),01.05.50,RUS
4,,,Olga Bryzgina,(49.8),30.06.63,UKR
5,2.0,3:23.38,United States,h2,Helsinki,13.08.2005
6,,,Suziann Reid,(52.8),14.01.77,USA
7,,,Monique Hennagan,(50.2),26.05.76,USA
8,,,Moushami Robinson,(51.02),13.04.81,USA
9,,,Monique Henderson,(49.93),18.02.83,USA
10,3.0,3:23.76,Jamaica,,Göteborg,13.08.1995
11,,,Revoli Campbell,(51.5),04.07.72,JAM
12,,,Merlene Frazer,(51.4),27.12.73,JAM
13,,,Sandie Richards,(50.49),06.11.68,JAM
14,,,Deon Hemmings,(50.35),09.10.68,JAM
15,4.0,3:25.25,Jamaica,h3,Moskva,16.08.2013
16,,,Rosemarie Whyte,(52.0e),08.09.86,JAM
17,,,Kaliese Spencer,(50.1e),06.04.87,JAM
18,,,Anastasia Le-Roy,(52.04),11.09.87,JAM
19,,,Christine Day,(51.11),23.08.86,JAM
20,5.0,3:25.83,England,,Birmingham,07.08.2022
21,,,Victoria Ohuruogu,,28.02.93,GBR
22,,,Jodie Williams,,28.09.93,GBR
23,,,Amarachi Pipi,,26.11.95,GBR
24,,,Jessie Knight,,15.06.94,GBR
25,6.0,3:25.87,Senegal,,Saint-Denis,31.08.2003
26,,,Fatou Bintou Fall,(51.4),23.08.81,SEN
27,,,Mame Tacko Diouf,(51.6),17.10.76,SEN
28,,,Aminata Diouf,(52.36),18.02.77,SEN
29,,,Ami Mbacké Thiam,(50.46),10.11.76,SEN
30,7.0,3:25.91,Canada,,Ad-Dawhah,06.10.2019
31,,,Alicia Brown,(52.6),21.01.90,CAN
32,,,Aiyanna-Brigitte Stiverne,(51.1),20.02.95,CAN
33,,,Madeline Price,(51.5),11.09.95,CAN
34,,,Sage Watson,(50.7),20.06.94,CAN
35,8.0,3:25.95,Russia,,Annecy,23.06.2002
36,,,Anna Tkach,,17.04.75,RUS
37,,,Oleysa Zykina,,07.10.80,RUS
38,,,Natalya Lavshuk,,22.02.80,RUS
39,,,Yuliya Pechonkina,,21.04.78,RUS
40,9.0,3:26.51,Nigeria,,London,11.08.2012
41,,,Omolara Omotosho,(52.6e),25.05.93,NGR
42,,,Ajoke Odumosu,(51.2e),27.10.87,NGR
43,,,Regina George,(50.88),17.02.91,NGR
44,,,Bukola Abogunloko,(51.76),18.08.94,NGR
45,10.0,3:26.71,Czech Republic,h1,München,19.08.2022
46,,,Tereza Petrzilková,(52.08),10.09.93,CZE
47,,,Nikoleta Jíchová,(52.17),29.08.00,CZE
48,,,Martina Hofmanová,(51.29),06.01.95,CZE
49,,,Lada Vondrová,(51.17),06.09.99,CZE
50,11.0,3:26.84,Australia,,Victoria,28.08.1994
51,,,Lee Naylor,,26.01.71,AUS
52,,,Kylie Hanigan,,18.11.71,AUS
53,,,Renee Poetschka,,01.05.71,AUS
54,,,Cathy Freeman,,16.02.73,AUS
55,12.0,3:27.00,Belarus,,Helsinki,14.08.2005
56,,,Yelena Nevmerzhitskaya,(52.9e),27.07.80,BLR
57,,,Natalya Sologub,(51.3e),31.03.75,BLR
58,,,Anna Kozak,(52.48),22.06.74,BLR
59,,,Ilona Usovich,(50.34),14.11.82,BLR
60,13.0,3:27.17,Great Britain & N.I.,,Melbourne,25.03.2006
61,,,Kim Wall,(53.3),21.04.83,GBR
62,,,Nicola Sanders,(50.5),23.06.82,GBR
63,,,Natasha Danvers,(52.36),19.09.77,GBR
64,,,Christine Ohuruogu,(50.86),17.05.84,GBR
65,14.0,3:27.40,Brazil,,Helsinki,14.08.2005
66,,,Maria Laura Almirão,(53.1e),20.09.77,BRA
67,,,Geisa Aparecida Coutinho,(51.5e),01.06.80,BRA
68,,,Josiane da Silva Tito,(51.99),08.08.79,BRA
69,,,Lucimar Teodoro,(50.83),01.05.81,BRA
70,15.0,3:27.71,Ukraina,h3,Yokohama,11.05.2019
71,,,Kateryna Klymyuk,(52.8),02.06.95,UKR
72,,,Alina Lohvynenko,(52.5),18.07.90,UKR
73,,,Tetyana Melnyk,(51.4),02.04.95,UKR
74,,,Anna Ryzhykova,(51.01),24.11.89,UKR
75,16.0,3:27.89,University of Kansas,,Des Moines,09.06.2012
76,,,Denesha Morris,(52.9),09.07.91,JAM
77,,,Paris Daniels,(51.7),25.01.90,USA
78,,,Taylor Washington,(52.12),21.01.91,USA
79,,,Diamond Dixon,(51.21),29.06.92,USA
80,17.0,3:28.11,France,,Annecy,23.06.2002
81,,,Francine Landre,,26.07.70,FRA
82,,,Solen Désert,,02.08.82,FRA
83,,,Elisabeth Grousselle,,06.02.73,FRA
84,,,Marie-Louise Bévis,,12.10.72,FRA
85,18.0,3:28.56,University of Alabama,,Baton Rouge,06.06.1987
86,,,Flora Hyacinth,(55.7),10.03.66,ISV
87,,,Sandra Latham,(52.9),,USA
88,,,Pauline Davis-Thompson,(50.3),09.07.66,BAH
89,,,Lillie Leatherwood,(49.7),06.07.64,USA
90,19.0,3:28.59,The Netherlands,h1,Eugene,23.07.2022
91,,,Hanneke Oosterwegel,(53.34),10.12.96,NED
92,,,Lieke Klaver,(49.63),20.08.98,NED
93,,,Cathelijn Peeters,(56.23),06.11.96,NED
94,,,Femke Bol,(49.38),23.02.00,NED
