,0,1,2,3,4,5
0,1.0,3:27.44,Russia,,Ad-Dawhah,14.03.2010
1,,,Svetlana Pospelova,(52.71),24.12.79,RUS
2,,,Natalya Nazarova,(51.87),22.05.79,RUS
3,,,Kseniya Ryzhova,(52.09),19.04.87,RUS
4,,,Tatyana Firova,(50.77),10.10.82,RUS
5,2.0,3:28.39,Russia,,Sopot,09.03.2014
6,,,Olga Tovarnova,(53.32),11.04.85,RUS
7,,,Alena Mamina,(52.47),30.05.90,RUS
8,,,Yuliya Terekhova,(52.77),20.02.90,RUS
9,,,Kseniya Ryzhova,(49.83),19.04.87,RUS
10,3.0,3:28.49,Jamaica,,Ad-Dawhah,14.03.2010
11,,,Bobbi-Gaye Wilkins-Gooden,(51.29),10.09.88,JAM
12,,,Clora Williams,(54.43),26.11.83,JAM
13,,,Davita Prendagast,(51.38),16.12.84,JAM
14,,,Novlene Williams-Mills,(51.39),26.04.82,JAM
