,0,1,2,3,4,5,6,7
0,1,14:18.86,Genzebe Dibaba,ETH,08.02.91,1,Stockholm,19.02.2015
1,2,14:24.37,Meseret Defar,ETH,19.11.83,1,Stockholm,18.02.2009
2,3,14:24.79,Meseret Defar,ETH,19.11.83,1,Stockholm,10.02.2010
3,4,14:27.42,Tirunesh Dibaba,ETH,01.10.85,1,Boston,27.01.2007
4,5,14:30.79,Konstanze Klosterhalfen,GER,18.02.97,1r1,Boston,27.02.2020
5,6,14:31.38,Gabriela DeBues-Stafford,CAN,13.09.95,1r1,Boston,11.02.2022
6,7,14:32.93,Tirunesh Dibaba,ETH,01.10.85,1,Boston,29.01.2005
7,8,14:33.17,Elise Cranny,USA,09.05.96,2r1,Boston,11.02.2022
8,9,14:35.46,Tirunesh Dibaba,ETH,01.10.85,1,Boston,28.01.2006
9,10,14:39.29,Berhane Adere,ETH,21.07.73,1,Stuttgart,31.01.2004
10,11,14:39.89,Kimberley Smith,NZL,19.11.81,1,New York City,27.02.2009
11,12,14:44.53,Tirunesh Dibaba,ETH,01.10.85,1,Boston,06.02.2010
12,13,14:46.80,Sentayehu Ejigu,ETH,21.06.85,2,Stockholm,10.02.2010
13,14,14:47.35,Gabriela Szabo,ROU,14.11.75,1,Dortmund,13.02.1999
14,15,14:47.62,Sentayehu Ejigu,ETH,21.06.85,1,Boston,07.02.2009
15,15,14:47.62,Shalane Flanagan,USA,07.08.81,2,Boston,07.02.2009
16,17,14:48.21,Berhane Adere,ETH,21.07.73,1,Dortmund,05.02.2003
17,18,14:48.51,Vanessa Fraser,USA,27.07.95,2r1,Boston,27.02.2020
18,19,14:48.75,Courtney Frerichs,USA,18.01.93,3r1,Boston,11.02.2022
19,20,14:49.12,Laura Muir,GBR,09.05.93,1,Glasgow,04.01.2017
20,21,14:49.36,Getenesh Wami,ETH,11.12.74,1,Dortmund,11.02.2001
21,22,14:50.46,Kimberley Smith,NZL,19.11.81,1,Boston,11.02.2005
22,23,14:51.69,Tegla Loroupe,KEN,09.05.73,2,Dortmund,13.02.1999
23,24,14:51.91,Emily Infeld,USA,21.03.90,3r1,Boston,27.02.2020
24,25,14:52.02,Laura Muir,GBR,09.05.93,1,Glasgow,04.01.2019
25,26,14:52.67,Sally Kipyego,KEN,19.12.85,2,Boston,06.02.2010
26,27,14:53.14,Meseret Defar,ETH,19.11.83,1,Boston,31.01.2004
27,28,14:53.99,Tirunesh Dibaba,ETH,01.10.85,2,Boston,31.01.2004
28,29,14:54.73,Derartu Tulu,ETH,21.03.72,3,Boston,31.01.2004
29,30,14:55.99,Irina Mikitenko,GER,23.08.72,2,Dortmund,11.02.2001
30,31,14:57.18,Betsy Saina,KEN,30.06.88,1,New York City,20.02.2016
31,32,14:57.31,Molly Huddle,USA,31.08.84,2,New York City,20.02.2016
32,33,14:57.45,Gabriela DeBues-Stafford,CAN,13.09.95,2,Glasgow,04.01.2019
33,34,14:58.25,Ejegayehu Dibaba,ETH,21.03.82,2,Boston,29.01.2005
34,35,14:58.67,Jennifer Simpson,USA,23.08.86,1r1,Boston,14.02.2020
35,36,14:58.85,Sentayehu Ejigu,ETH,21.06.85,4,Boston,31.01.2004
36,37,14:59.62,Kimberley Smith,NZL,19.11.81,1,Boston,10.02.2007
37,38,15:00.91,Emily Infeld,USA,21.03.90,3,New York City,20.02.2016
38,39,15:01.64,Molly Huddle,USA,31.08.84,1,Boston,26.02.2017
39,40,15:02.10,Emily Sisson,USA,12.10.91,2,Boston,26.02.2017
40,41,15:02.63,Millie Paladino,USA,18.10.95,4r1,Boston,11.02.2022
41,42,15:02.91,Courtney Frerichs,USA,18.01.93,4r1,Boston,27.02.2020
42,43,15:03.17,Elizabeth McColgan,GBR,24.05.64,1,Birmingham,22.02.1992
43,44,15:03.27,Elly Henes,USA,13.10.98,5r1,Boston,11.02.2022
44,45,15:03.49,Meskerem Assefa,ETH,20.09.85,3,Stockholm,10.02.2010
45,46,15:04.73,Restituta Joseph,TAN,30.07.71,2,Dortmund,05.02.2003
46,47,15:06.05,Marielle Hall,USA,28.01.92,4,New York City,20.02.2016
47,48,15:06.22,Shelby Houlihan,USA,08.02.93,5,New York City,20.02.2016
48,49,15:06.49,Sara Wedlund,SWE,27.12.75,1,Stockholm,25.02.1996
49,50,15:06.52,Fernanda Ribeiro,POR,23.06.69,1,Moskva,07.02.1996
50,51,15:07.17,Marielle Hall,USA,28.01.92,1r1,Boston,24.02.2019
51,52,15:07.33,Marla Runyan,USA,04.01.69,1,New York City,18.02.2001
52,53,15:07.39,Gabriela Szabo,ROU,14.11.75,1,Gent,08.02.1998
53,54,15:07.44,Emily Lipari,USA,19.11.92,1,Boston,01.02.2020
54,55,15:08.22,Andrea Rodenfels,USA,24.07.96,1,Boston,03.12.2022
55,56,15:08.46,Yasemin Can,TUR,11.12.96,1,Istanbul,20.02.2016
56,57,15:08.80,Andrea Rodenfels,USA,24.07.96,1r1,Boston,04.12.2021
57,58,15:09.47,Whittni Morgan,USA,22.10.97,2r1,Boston,04.12.2021
58,59,15:09.48,Ejegayehu Dibaba,ETH,21.03.82,2,Boston,27.01.2007
59,60,15:10.63,Olga Yegorova,RUS,28.03.72,1,Dortmund,30.01.2000
60,61,15:10.98,Gwen Jorgensen,USA,25.04.86,5r1,Boston,27.02.2020
61,62,15:11.15,Zahra Ouaziz,MAR,20.12.69,2,Stuttgart,31.01.2004
62,63,15:11.19,Taylor Werner,USA,01.05.98,1rA,Boston,07.12.2019
63,64,15:11.56,Karissa Schweizer,USA,04.05.96,2r1,Boston,24.02.2019
64,65,15:12.22,Emily Sisson,USA,12.10.91,1,New York City,28.02.2015
65,66,15:12.33,Jessica Tonn,USA,15.02.92,6r1,Boston,27.02.2020
66,67,15:12.55,Courtney Frerichs,USA,18.01.93,3r1,Boston,24.02.2019
67,68,15:13.04,Sharon Lokedi,KEN,10.03.94,2,Boston,01.02.2020
68,69,15:13.09,Katie Izoo,USA,22.12.96,2rA,Boston,07.12.2019
69,70,15:13.72,Uta Pippig,GER,07.09.65,1,Stuttgart,10.02.1991
70,71,15:13.76,Emily Sisson,USA,12.10.91,1,Boston,25.02.2018
71,72,15:13.86,Molly Huddle,USA,31.08.84,1,Boston,02.03.2014
72,73,15:14.18,Kimberley Smith,NZL,19.11.81,1,Fayetteville,12.03.2004
73,74,15:14.71,Weini Kelati Frezghi,ERI,01.12.96,3rA,Boston,07.12.2019
74,75,15:14.75,Vanessa Fraser,USA,27.07.95,4r1,Boston,24.02.2019
75,76,15:14.76,Erika Kemp,USA,26.01.95,7r1,Boston,27.02.2020
76,77,15:14.78,Ednah Kurgat,KEN,15.06.91,1r1,Boston,01.12.2018
77,78,15:15.21,Molly Seidel,USA,12.07.94,1,Birmingham AL,11.03.2016
78,79,15:15.24,Weini Kelati Frezghi,ERI,01.12.96,2r1,Boston,01.12.2018
79,80,15:15.46,Courtney Wayment,USA,04.08.98,3r1,Boston,04.12.2021
80,81,15:15.47,Sharon Lokedi,KEN,10.03.94,3r1,Boston,01.12.2018
81,82,15:15.80,Konstanze Klosterhalfen,GER,18.02.97,1,Boston,26.01.2019
82,83,15:15.92,Katelyn Tuohy,USA,18.03.02,2,Boston,03.12.2022
83,84,15:16.05,Tegla Loroupe,KEN,09.05.73,2,Dortmund,30.01.2000
84,85,15:16.38,Allie Ostrander,USA,24.12.96,4r1,Boston,01.12.2018
85,86,15:17.11,Danielle Jones,USA,21.08.96,2r1,Boston,14.02.2020
86,87,15:17.28,Sonia O'Sullivan,IRL,28.11.69,1,Boston,26.01.1991
87,88,15:17.31,Karissa Schweizer,USA,04.05.96,1,Boston,02.12.2017
88,89,15:17.88,Leah Malot,KEN,07.06.72,3,Dortmund,13.02.1999
89,90,15:17.97,Hilda Olemomoi,KEN,06.06.00,3,Boston,03.12.2022
90,91,15:18.12,Mercy Chelangat,KEN,11.07.97,4,Boston,03.12.2022
91,92,15:18.34,Mary Cullen,IRL,17.08.82,3,Boston,07.02.2009
92,93,15:18.50,Susan Ejore,KEN,09.11.95,5,Boston,03.12.2022
93,94,15:18.54,Kimberley Smith,NZL,19.11.81,1,Boston,30.01.2004
94,95,15:18.97,Ejegayehu Dibaba,ETH,21.03.82,2,Boston,28.01.2006
95,96,15:19.03,Ednah Kurgat,KEN,15.06.91,2,Boston,02.12.2017
96,97,15:19.14,Karissa Schweizer,USA,04.05.96,1,College Station,10.03.2017
97,98,15:19.21,Aisha Praught-Leer,JAM,12.12.89,6,Boston,03.12.2022
98,99,15:19.22,Jenny Nesbitt,GBR,24.01.95,6r1,Boston,11.02.2022
99,10,15:19.27,Meryem Akdag,TUR,05.08.92,2,Istanbul,20.02.2016
100,10,15:19.64,Molly Seidel,USA,12.07.94,1rA,Boston,26.02.2016
101,10,15:19.71,Allie Ostrander,USA,24.12.96,8r1,Boston,27.02.2020
102,10,15:20.42,Natosha Rogers,USA,07.05.91,1,Chicago,11.02.2022
103,10,15:20.57,Sarah Disanza,USA,22.08.95,1,Boston,06.12.2014
104,10,15:20.73,Marielle Hall,USA,28.01.92,9r1,Boston,27.02.2020
105,10,15:20.84,Dominique Scott,RSA,24.06.92,3,Boston,01.02.2020
106,10,15:21.56,Kellyn Taylor,USA,22.07.86,1,Spokane,11.02.2022
107,10,15:21.84,Emily Sisson,USA,12.10.91,2,Boston,06.12.2014
108,10,15:22.30,Leah Malot,KEN,07.06.72,3,Dortmund,30.01.2000
109,11,15:22.35,Mary Cullen,IRL,17.08.82,2,Boston,10.02.2007
