,0,1,2,3,4,5,6,7
0,1,14:44.49,Evelyn Wambui,KEN,04.04.86,r29,Yokohama,28.09.2008
1,2,14:46.20,Philes Ongori,KEN,19.07.86,1,Yokohama,26.10.2008
2,3,14:51.95,Lornah Kiplagat,KEN,20.03.74,1,Utrecht,21.06.2002
3,4,14:57.23,Molly Huddle,USA,31.08.84,1rA,Waltham,13.06.2015
4,5,14:59.88,Sabrina Mockenhaupt,GER,06.12.80,1r1,Koblenz,20.05.2009
5,6,15:02.28,Felista Wanjuku,KEN,18.02.90,1r16,Yokohama,22.11.2008
6,7,15:05.37,Yuriko Kobayashi,JPN,12.12.88,r12,Fukuroi,18.10.2008
7,8,15:06.07,Yukiko Akaba,JPN,18.10.79,1rA,Kitami,13.07.2008
8,9,15:07.58,Clémence Calvin,FRA,17.05.90,1,Le Mans,25.05.2014
9,10,15:08.3,Philes Ongori,KEN,19.07.86,1,Kofu,03.10.2004
10,11,15:08.8,Loa Olafsson,DEN,29.01.58,1,Sollerød,30.05.1978
11,12,15:10.92,Sabrina Mockenhaupt,GER,06.12.80,1,Koblenz,23.05.2007
12,13,15:11.65,Anne Mwangi,KEN,08.12.88,1r12,Fuluroi,16.10.2010
13,14,15:14.16,Beatrice Mutai,KEN,19.04.87,,Oordegem,26.05.2012
14,15,15:15.27,Felista Wanjuku,KEN,18.02.90,1,Sapporo,14.06.2010
15,16,15:15.33,Mika Yoshikawa,JPN,16.09.84,r5,Yokohama,24.12.2011
16,17,15:16.01,Christine Bardelle,FRA,16.08.74,1r1,Ninove,02.08.2014
17,18,15:16.9,Eloise Wellings,AUS,09.11.82,1,Melbourne,26.03.2015
18,19,15:17.07,Obare Doricah,KEN,10.01.90,r14,Yokohama,21.11.2010
19,20,15:17.27,Fabienne Schlumpf,SUI,17.11.90,1rA,Regensdorf,08.08.2020
20,21,15:17.3,Nyla Carroll,NZL,24.11.65,,Wanganui,17.02.1996
21,22,15:18.04,Anja Smolders,BEL,02.06.73,1,Uden,01.07.2000
22,23,15:18.53,Sabrina Mockenhaupt,GER,06.12.80,1r1,Koblenz,28.05.2014
23,24,15:18.6,Eloise Wellings,AUS,09.11.82,1,Sydney,16.10.1999
24,25,15:19.45,Maryam Yusuf Jamal,ETH,16.09.84,,Lausanne,25.05.2004
25,26,15:19.71,Jane Kiptoo,KEN,08.08.82,2,Utrecht,21.06.2002
26,27,15:19.8,Margherita Gargano,ITA,18.11.52,,Palermo,06.08.1982
27,28,15:19.87,Kerryn McCann,AUS,02.05.67,1,Melbourne,18.11.1999
28,29,15:20.13,Yoko Shibui,JPN,14.03.79,1,Kumagaya,17.05.2008
29,30,15:21.02,Lidia Chojecka,POL,25.01.77,,Nice,30.06.2010
30,31,15:22.75,Maren Kock,GER,22.06.90,2r1,Koblenz,28.05.2014
31,32,15:22.83,Anne Mwangi,KEN,08.12.88,r12,Fukuroi,18.10.2008
32,33,15:23.94,Rachel Cliff,CAN,01.04.88,1,Surrey,28.06.2016
