,0,1,2,3,4,5,6
0,1,70.69,Darya Pishchalnikova,RUS,19.07.85,Cheboksary,05.07.2012
1,2,69.99,Sandra Perkovic,CRO,21.06.90,Varazdin,04.06.2011
2,3,69.8,Zdenka Silhavá,CZE,15.06.54,Nitra,31.08.1985
3,4,69.34,Darya Pishchalnikova,RUS,19.07.85,Yerino,21.07.2012
4,5,68.82,Ellina Zvereva,BLR,16.11.60,Moskva,24.06.1992
5,6,68.18,Darya Pishchalnikova,RUS,19.07.85,Moskva,20.06.2012
6,7,67.89,Irina Yatchenko,BLR,31.10.65,Minsk,29.06.2008
7,8,67.56,Darya Pishchalnikova,RUS,19.07.85,London,04.08.2012
8,9,67.28,Darya Pishchalnikova,RUS,19.07.85,Tula,06.07.2008
9,10,67.24,Natalya Sadova,RUS,07.02.72,Ostrava,30.05.2006
10,11,67.0,Darya Pishchalnikova,RUS,19.07.85,Sochi,26.05.2012
11,12,66.85,Darya Pishchalnikova,RUS,19.07.85,Stockholm,17.08.2012
12,13,66.55,Natalya Sadova,RUS,07.02.72,Tula,13.06.2006
13,14,66.42,Zdenka Silhavá,CZE,15.06.54,Moskva,17.08.1985
14,15,66.17,Irina Yatchenko,BLR,31.10.65,Athínai,21.08.2004
15,16,66.12,Darya Pishchalnikova,RUS,19.07.85,Warszawa,15.06.2008
16,17,65.78,Darya Pishchalnikova,RUS,19.07.85,Osaka,29.08.2007
17,18,65.59,Darya Pishchalnikova,RUS,19.07.85,Dessau,30.05.2008
18,19,65.58,Sandra Perkovic,CRO,21.06.90,Shanghai,15.05.2011
19,20,65.56,Sandra Perkovic,CRO,21.06.90,Roma,26.05.2011
20,21,65.47,Darya Pishchalnikova,RUS,19.07.85,Berlin,01.09.2012
21,22,65.3,Natalya Sadova,RUS,07.02.72,Hengelo,28.05.2006
22,23,65.02,Darya Pishchalnikova,RUS,19.07.85,London,03.08.2012
