,0,1,2,3,4,5,6,7
0,1,6768,Tatyana Chernova,RUS,29.01.88,1,Arles,03.06.2007
1,2,6701,Jackie Joyner-Kersee,USA,03.03.62,1,Azusa,20.04.1990
2,3,6587,Jane Frederick,USA,07.04.52,1,Indianapolis,18.06.1985
3,4,6375,Jackie Joyner-Kersee,USA,03.03.62,1,Sacramento,15.06.1995
4,5,6334,Marianna Maslennikova,RUS,17.05.61,3,Arles,05.07.1987
5,6,6319,Urszula Wlodarczyk,POL,22.12.65,2,Sheffield,21.07.1991
6,7,6317,Xénia Krizsán,HUN,13.01.93,8,Götzis,01.06.2014
7,8,6314,Jessica Zelinka,CAN,03.09.81,1,Arles,04.06.2006
8,9,6313,Liliana Nastase,ROU,01.08.62,2,Kobe,31.08.1985
9,10,6300,Peggy Beer,GER,15.09.69,1,Wesel,31.08.1997
10,11,6294,Shelia Burrell,USA,15.01.72,2,New Orleans,20.06.1998
11,12,6293,Adriana Rodríguez,CUB,12.07.99,1,La Habana,10.03.2019
12,13,6290,Diana Pickler,USA,09.12.83,1,Eugene,28.06.2009
13,14,6283,DeDee Nathan,USA,20.04.68,4,Sacramento,15.06.1995
14,15,6282,Judy Simpson,GBR,14.11.60,1,Edinburgh,27.07.1986
15,16,6279,Maria Nowak,POL,11.03.66,3,Sheffield,21.07.1991
16,16,6279,Nataliya Dobrynska,UKR,29.05.82,2,Arles,05.06.2005
17,18,6278,Jane Flemming,AUS,14.04.65,2,Edinburgh,27.07.1986
18,19,6274,Tyra Gittens,TTO,06.06.98,1,College Station,10.04.2021
19,20,6270,Svetlana Sokolova,RUS,09.01.81,1,Arles,01.07.2001
20,21,6262,Cindy Greiner,USA,15.02.57,1,Norwalk,13.06.1990
21,22,6260,Marie Collonvillé,FRA,23.11.73,1,Arles,06.06.2004
22,23,6254,Joanne Henry,NZL,02.10.71,1,Auckland,22.03.1998
23,24,6248,Janice Josephs,RSA,31.03.82,2,Arles,04.06.2006
24,25,6247,Birgit Clarius,GER,18.03.65,5,Götzis,18.06.1989
25,26,6244,Urszula Wlodarczyk,POL,22.12.65,1,Valladolid,19.05.1996
26,27,6242,Marianna Maslennikova,RUS,17.05.61,2,Ahlen,09.09.1984
27,28,6218,Jessica Zelinka,CAN,03.09.81,2,Arles,03.06.2007
28,29,6217,Kelly Blair,USA,24.11.70,1,Austin,06.04.2000
29,30,6215,Marlene Harmon,USA,11.06.62,1,Air Force Academy,02.07.1983
30,31,6214,Nadine Debois,FRA,25.09.61,6,Arles,05.07.1987
31,32,6207,Irina Matyusheva,UKR,15.06.65,1,Alhama de Murcia,05.06.1994
32,33,6206,Catherine Bond-Mills,CAN,20.09.67,8,Götzis,29.05.1994
33,34,6203,Cindy Greiner,USA,15.02.57,1,Boise,13.04.1991
34,35,6184,Cindy Greiner,USA,15.02.57,1,Indianapolis,10.08.1987
35,36,6183,Nataliya Dobrynska,UKR,29.05.82,2,Arles,06.06.2004
36,37,6177,DeDee Nathan,USA,20.04.68,1,Colorado Springs,11.08.1996
37,38,6174,DeDee Nathan,USA,20.04.68,1,Eugene,22.06.2001
38,38,6174,Michaela Hejnová,CZE,10.04.80,3,Arles,06.06.2004
39,40,6163,Irina Vostrikova,RUS,30.08.70,1,Desenzano del Garda,17.05.1998
40,41,6158,Kylie Wheeler,AUS,17.01.80,3,Arles,03.06.2007
41,42,6150,Austra Skujyté,LTU,12.08.79,1,College Station,17.05.2001
42,43,6146,Anzhela Atroschenko,BLR,14.10.70,2,Alhama de Murcia,05.06.1994
43,44,6135,Gea Johnson,USA,18.09.67,2,Norwalk,13.06.1990
44,45,6134,Jamie McNeair,USA,26.06.69,2,Colorado Springs,11.08.1996
45,45,6134,Nataliya Dobrynska,UKR,29.05.82,4,Arles,03.06.2007
46,47,6123,Heike Blassneck,GER,26.07.71,2,Wesel,31.08.1997
47,48,6118,Sharon Jaklofsky,AUS,30.09.68,1,Sydney,03.12.1989
48,49,6114,Jackie Joyner-Kersee,USA,03.03.62,1,Walnut,22.04.1983
49,49,6114,Larisa Netseporuk,UKR,24.06.70,3,Alhama de Murcia,05.06.1994
50,51,6112,Urszula Wlodarczyk,POL,22.12.65,4,Alhama de Murcia,05.06.1994
51,52,6105,Margaret Simpson,GHA,02.08.82,1,Radès,07.08.2002
