,0,1,2,3,4,5,6
0,1,2.04,Anna Chicherova,RUS,22.07.82,Zagreb,09.09.2008
1,2,2.03,Anna Chicherova,RUS,22.07.82,Beijing,23.08.2008
2,2,2.03,Svetlana Shkolina,RUS,09.03.86,London,11.08.2012
3,2,2.03,Svetlana Shkolina,RUS,09.03.86,Moskva,17.08.2013
4,5,2.02,Anna Chicherova,RUS,22.07.82,Berlin,20.08.2009
5,6,2.01,Yelena Slesarenko,RUS,28.02.82,Beijing,23.08.2008
6,6,2.01,Svetlana Shkolina,RUS,09.03.86,Rieti,09.09.2012
7,8,2.0,Anna Chicherova,RUS,22.07.82,Cheboksary,24.07.2009
8,8,2.0,Anna Chicherova,RUS,22.07.82,Bruxelles,04.09.2009
9,8,2.0,Anna Chicherova,RUS,22.07.82,Thessaloníki,13.09.2009
10,8,2.0,Svetlana Shkolina,RUS,09.03.86,Eberstadt,19.08.2012
11,8,2.0,Svetlana Shkolina,RUS,09.03.86,Bruxelles,07.09.2012
12,8,2.0,Svetlana Shkolina,RUS,09.03.86,Bruxelles,06.09.2013
13,8,2.0,Inika McPherson,USA,29.09.86,Sacramento,29.06.2014
14,15,1.99,Antonella Bevilacqua,ITA,15.10.71,Atlanta,03.08.1996
15,15,1.99,Vita Palamar,UKR,12.10.77,Beijing,23.08.2008
16,15,1.99,Anna Chicherova,RUS,22.07.82,Stuttgart,14.09.2008
17,18,1.98,Antonella Bevilacqua,ITA,15.10.71,Milano,04.05.1996
18,18,1.98,Anna Chicherova,RUS,22.07.82,Zürich,29.08.2008
19,18,1.98,Anna Chicherova,RUS,22.07.82,Zürich,28.08.2009
20,18,1.98,Svetlana Shkolina,RUS,09.03.86,Roma,06.06.2013
21,18,1.98,Svetlana Shkolina,RUS,09.03.86,Stockholm,22.08.2013
