,0,1,2,3,4,5,6
0,1,2.02,Anna Chicherova,RUS,22.07.82,Zagreb,09.09.2008
1,2,2.01,Anna Chicherova,RUS,22.07.82,Beijing,23.08.2008
2,3,2.0,Anna Chicherova,RUS,22.07.82,Zagreb,09.09.2008
3,3,2.0,Svetlana Shkolina,RUS,09.03.86,London,11.08.2012
4,3,2.0,Svetlana Shkolina,RUS,09.03.86,Moskva,17.08.2013
5,6,1.99,Anna Chicherova,RUS,22.07.82,Beijing,23.08.2008
6,6,1.99,Yelena Slesarenko,RUS,28.02.82,Beijing,23.08.2008
7,6,1.99,Anna Chicherova,RUS,22.07.82,Berlin,20.08.2009
8,9,1.98,Anna Chicherova,RUS,22.07.82,Cheboksary,24.07.2009
9,9,1.98,Svetlana Shkolina,RUS,09.03.86,Bruxelles,06.09.2013
