,0,1,2,3,4,5,6,7,8
0,1,7.52,+1.4,Galina Chistyakova,RUS,26.07.62,1,Leningrad,11.06.1988
1,2,7.49,+1.3,Jackie Joyner-Kersee,USA,03.03.62,1,New York City,22.05.1994
2,2,7.49A,+1.7,Jackie Joyner-Kersee,USA,03.03.62,1,Sestriere,31.07.1994
3,4,7.48,+1.2,Heike Drechsler,GER,16.12.64,1,Neubrandenburg,09.07.1988
4,4,7.48,+0.4,Heike Drechsler,GER,16.12.64,1,Lausanne,08.07.1992
5,6,7.45,+0.9,Heike Drechsler,GER,16.12.64,1,Tallinn,21.06.1986
6,6,7.45,+1.1,Heike Drechsler,GER,16.12.64,1,Dresden,03.07.1986
7,6,7.45,+0.6,Jackie Joyner-Kersee,USA,03.03.62,1,Indianapolis,13.08.1987
8,6,7.45,+1.6,Galina Chistyakova,RUS,26.07.62,1,Budapest,12.08.1988
9,10,7.44,+2.0,Heike Drechsler,GER,16.12.64,1,Berlin,22.09.1985
10,11,7.43,+1.4,Anisoara Cusmir,ROU,28.06.62,1,Bucuresti,04.06.1983
11,12,7.42,+2.0,Tatyana Kotova,RUS,11.12.76,1,Annecy,23.06.2002
12,13,7.40,+1.8,Heike Drechsler,GER,16.12.64,1,Dresden,26.07.1984
13,13,7.40,+0.7,Heike Drechsler,GER,16.12.64,1,Potsdam,21.08.1987
14,13,7.40,+0.9,Jackie Joyner-Kersee,USA,03.03.62,1,Seoul,29.09.1988
15,16,7.39,+0.3,Heike Drechsler,GER,16.12.64,1,Zürich,21.08.1985
16,16,7.39,+0.5,Yelena Belevskaya,BLR,11.10.63,1,Bryansk,18.07.1987
17,16,7.39,,Jackie Joyner-Kersee,USA,03.03.62,1,San Diego,25.06.1988
18,19,7.37A,+1.8,Heike Drechsler,GER,16.12.64,1,Sestriere,31.07.1991
19,19,7.37,,Inessa Kravets,UKR,05.10.66,1,Kyiv,13.06.1992
20,21,7.36,+0.4,Jackie Joyner-Kersee,USA,03.03.62,1,Roma,04.09.1987
21,21,7.36,+1.8,Yelena Belevskaya,BLR,11.10.63,2,Leningrad,11.06.1988
22,21,7.36,+1.8,Heike Drechsler,GER,16.12.64,1,Jena,28.05.1992
23,24,7.35,+1.9,Galina Chistyakova,RUS,26.07.62,1,Bratislava,20.06.1990
24,25,7.34,+1.6,Heike Drechsler,GER,16.12.64,1,Dresden,19.05.1984
25,25,7.34,+1.4,Galina Chistyakova,RUS,26.07.62,2,Tallinn,21.06.1986
26,25,7.34,,Yelena Belevskaya,BLR,11.10.63,1,Sukhumi,17.05.1987
27,25,7.34,+0.7,Heike Drechsler,GER,16.12.64,1A,Karl-Marx-Stadt,20.06.1987
28,29,7.33,+0.4,Heike Drechsler,GER,16.12.64,1,Erfurt,22.06.1985
29,29,7.33,+2.0,Heike Drechsler,GER,16.12.64,1,Dresden,02.08.1985
30,29,7.33,-0.3,Heike Drechsler,GER,16.12.64,1,Monaco,11.08.1992
31,29,7.33,+0.4,Tatyana Lebedeva,RUS,21.07.76,1,Tula,31.07.2004
32,33,7.32,-0.2,Heike Drechsler,GER,16.12.64,1,Berlin,20.07.1984
33,33,7.32,±0.0,Jackie Joyner-Kersee,USA,03.03.62,1,Tokyo,25.08.1991
34,33,7.32*,,Heike Drechsler,GER,16.12.64,,Padova,15.09.1991
35,36,7.31,+1.5,Yelena Khlopotnova,UKR,04.08.63,1,Almaty,12.09.1985
36,36,7.31,+1.3,Heike Drechsler,GER,16.12.64,1,Jena,31.05.1986
37,36,7.31,-0.2,Yelena Belevskaya,BLR,11.10.63,1,Kyiv,15.07.1986
38,36,7.31,+1.1,Yelena Belevskaya,BLR,11.10.63,1,Moskva,16.08.1987
39,36,7.31,+1.9,Marion Jones,USA,12.10.75,1,Eugene,31.05.1998
40,36,7.31,-0.1,Marion Jones,USA,12.10.75,1,Zürich,12.08.1998
41,36,7.31,+1.7,Brittney Reese,USA,09.09.86,1,Eugene,02.07.2016
42,43,7.30,+0.6,Heike Drechsler,GER,16.12.64,1,Split,28.08.1990
43,43,7.30,-0.2,Heike Drechsler,GER,16.12.64,1,Dillingen,17.05.1992
44,43,7.30A,+0.7,Jackie Joyner-Kersee,USA,03.03.62,1,San José,28.05.1994
45,43,7.30,-0.8,Malaika Mihambo,GER,03.02.94,1,Ad-Dawhah,06.10.2019
46,47,7.29,±0.0,Heike Drechsler,GER,16.12.64,1,Jena,13.05.1984
47,47,7.29,+0.5,Galina Chistyakova,RUS,26.07.62,1,Moskva,06.08.1984
48,47,7.29,+1.8,Heike Drechsler,GER,16.12.64,1,Neubrandenburg,07.06.1985
49,47,7.29*,+1.5,Heike Drechsler,GER,16.12.64,,Jena,28.06.1986
50,47,7.29,+0.9,Galina Chistyakova,RUS,26.07.62,1,Sochi,01.06.1988
51,47,7.29,±0.0,Yelena Khlopotnova,UKR,04.08.63,1,Almaty,03.07.1988
52,47,7.29,-0.2,Heike Drechsler,GER,16.12.64,2,Tokyo,25.08.1991
53,47,7.29,+0.9,Heike Drechsler,GER,16.12.64,2,Oslo,22.07.1994
54,55,7.28,+0.9,Galina Chistyakova,RUS,26.07.62,1,Moskva,18.08.1985
55,56,7.27,+1.0,Anisoara Cusmir,ROU,28.06.62,1,Sofia,17.06.1984
56,56,7.27,+1.3,Galina Chistyakova,RUS,26.07.62,2,Erfurt,22.06.1985
57,56,7.27,+0.7,Heike Drechsler,GER,16.12.64,1,Canberra,06.10.1985
