,0,1,2,3,4,5,6,7
0,1,7.45,+1.0,Galina Chistyakova,RUS,26.07.62,Leningrad,11.06.1988
1,2,7.37,,Heike Drechsler,GER,16.12.64,Neubrandenburg,09.07.1988
2,3,7.32,-0.2,Heike Drechsler,GER,16.12.64,Zürich,21.08.1985
3,3,7.32,,Heike Drechsler,GER,16.12.64,Jena,28.05.1992
4,5,7.30,+0.3,Heike Drechsler,GER,16.12.64,Dresden,03.07.1986
5,6,7.29,+1.6,Heike Drechsler,GER,16.12.64,Dresden,03.07.1986
6,7,7.28,+1.8,Heike Drechsler,GER,16.12.64,Dresden,02.08.1985
7,7,7.28,+0.1,Heike Drechsler,GER,16.12.64,Zürich,21.08.1985
8,7,7.28,+1.5,Heike Drechsler,GER,16.12.64,Dresden,03.07.1986
9,7,7.28,,Yelena Belevskaya,BLR,11.10.63,Moskva,16.08.1987
10,7,7.28,,Heike Drechsler,GER,16.12.64,Potsdam,21.08.1987
11,12,7.27,+0.6,Anisoara Cusmir,ROU,28.06.62,Bucuresti,04.06.1983
12,12,7.27,-0.1,Heike Drechsler,GER,16.12.64,Zürich,21.08.1985
13,12,7.27,+1.3,Heike Drechsler,GER,16.12.64,Tallinn,21.06.1986
14,12,7.27,,Yelena Khlopotnova,UKR,04.08.63,Almaty,03.07.1988
15,16,7.26,+0.2,Heike Drechsler,GER,16.12.64,Erfurt,22.06.1985
16,16,7.26,,Heike Drechsler,GER,16.12.64,Neubrandenburg,09.07.1988
17,16,7.26,+1.5,Galina Chistyakova,RUS,26.07.62,Bratislava,20.06.1990
18,16,7.26,+0.3,Irina Simagina,RUS,25.05.82,Tula,31.07.2004
19,20,7.25,+0.2,Heike Drechsler,GER,16.12.64,Canberra,06.10.1985
20,20,7.25,-0.4,Heike Drechsler,GER,16.12.64,Stuttgart,27.08.1986
21,20,7.25,,Jackie Joyner-Kersee,USA,03.03.62,Indianapolis,13.08.1987
22,20,7.25,+1.8,Yelena Belevskaya,BLR,11.10.63,Leningrad,11.06.1988
23,20,7.25,,Heike Drechsler,GER,16.12.64,Dillingen,17.05.1992
24,25,7.24,+1.4,Heike Drechsler,GER,16.12.64,Berlin,22.09.1985
25,25,7.24,+0.5,Heike Drechsler,GER,16.12.64,Dresden,03.07.1986
26,25,7.24,,Galina Chistyakova,RUS,26.07.62,Budapest,12.08.1988
27,28,7.23,+1.5,Heike Drechsler,GER,16.12.64,Dresden,19.05.1984
28,28,7.23,+1.9,Heike Drechsler,GER,16.12.64,Dresden,02.08.1985
29,28,7.23,,Heike Drechsler,GER,16.12.64,Berlin,20.08.1986
30,28,7.23,,Heike Drechsler,GER,16.12.64,Karl-Marx-Stadt,20.06.1987
31,28,7.23,,Heike Drechsler,GER,16.12.64,Oslo,04.07.1987
32,28,7.23,,Galina Chistyakova,RUS,26.07.62,Sochi,01.06.1988
33,28,7.23A,+1.5,Heike Drechsler,GER,16.12.64,Sestriere,31.07.1991
34,28,7.23,+0.7,Heike Drechsler,GER,16.12.64,Lausanne,08.07.1992
35,36,7.22,+0.9,Heike Drechsler,GER,16.12.64,Dresden,19.05.1984
36,36,7.22,+0.8,Heike Drechsler,GER,16.12.64,Canberra,06.10.1985
37,36,7.22,,Heike Drechsler,GER,16.12.64,Potsdam,21.08.1987
38,36,7.22,+0.1,Tatyana Lebedeva,RUS,21.07.76,Tula,31.07.2004
39,40,7.21,+1.7,Heike Drechsler,GER,16.12.64,Dresden,19.05.1984
40,40,7.21,,Heike Drechsler,GER,16.12.64,Neubrandenburg,07.06.1985
41,40,7.21,,Jackie Joyner-Kersee,USA,03.03.62,Indianapolis,13.08.1987
42,40,7.21,,Heike Drechsler,GER,16.12.64,Potsdam,21.08.1987
43,40,7.21,+0.9,Galina Chistyakova,RUS,26.07.62,Leningrad,11.06.1988
44,40,7.21,+1.8,Galina Chistyakova,RUS,26.07.62,Leningrad,11.06.1988
45,40,7.21,+2.0,Heike Drechsler,GER,16.12.64,Oslo,22.07.1994
46,40,7.21,+1.1,Heike Drechsler,GER,16.12.64,Oslo,22.07.1994
47,48,7.20,,Galina Chistyakova,RUS,26.07.62,Erfurt,22.06.1985
48,48,7.20,+1.9,Heike Drechsler,GER,16.12.64,Dresden,02.08.1985
49,48,7.20,+1.2,Heike Drechsler,GER,16.12.64,Moskva,18.08.1985
50,48,7.20,+1.4,Galina Chistyakova,RUS,26.07.62,Moskva,18.08.1985
51,48,7.20,+1.4,Yelena Khlopotnova,UKR,04.08.63,Almaty,12.09.1985
52,48,7.20,+0.1,Heike Drechsler,GER,16.12.64,Dresden,03.07.1986
53,48,7.20,,Heike Drechsler,GER,16.12.64,Berlin,20.08.1986
54,55,7.19,,Galina Chistyakova,RUS,26.07.62,Zürich,21.08.1985
55,55,7.19,,Yelena Belevskaya,BLR,11.10.63,Bryansk,18.07.1987
56,55,7.19,,Heike Drechsler,GER,16.12.64,Dillingen,17.05.1992
57,55,7.19,,Heike Drechsler,GER,16.12.64,Jena,28.05.1992
58,59,7.18,,Anisoara Cusmir,ROU,28.06.62,Sofia,17.06.1984
59,59,7.18,,Galina Chistyakova,RUS,26.07.62,Erfurt,22.06.1985
60,59,7.18,+0.7,Heike Drechsler,GER,16.12.64,Berlin,22.09.1985
61,59,7.18,,Heike Drechsler,GER,16.12.64,Karl-Marx-Stadt,20.06.1987
62,59,7.18,,Heike Drechsler,GER,16.12.64,Karl-Marx-Stadt,20.06.1987
63,59,7.18,,Heike Drechsler,GER,16.12.64,Potsdam,21.08.1987
64,59,7.18,±0.0,Heike Drechsler,GER,16.12.64,Seoul,29.09.1988
65,59,7.18,+0.8,Heike Drechsler,GER,16.12.64,Split,28.08.1990
66,59,7.18,,Heike Drechsler,GER,16.12.64,Jena,28.05.1992
67,68,7.17,+1.6,Heike Drechsler,GER,16.12.64,Dresden,26.07.1984
68,68,7.17,,Heike Drechsler,GER,16.12.64,Neubrandenburg,07.06.1985
69,68,7.17,-0.1,Heike Drechsler,GER,16.12.64,Zürich,21.08.1985
70,68,7.17,±0.0,Heike Drechsler,GER,16.12.64,Stuttgart,27.08.1986
71,68,7.17,+0.2,Heike Drechsler,GER,16.12.64,Bruxelles,05.09.1986
72,68,7.17,,Heike Drechsler,GER,16.12.64,Praha,28.06.1987
73,68,7.17,,Yelena Belevskaya,BLR,11.10.63,Bryansk,18.07.1987
74,68,7.17,,Galina Chistyakova,RUS,26.07.62,Moskva,22.08.1987
75,68,7.17,,Heike Drechsler,GER,16.12.64,Rostock,25.06.1988
76,68,7.17,±0.0,Heike Drechsler,GER,16.12.64,Seoul,29.09.1988
77,68,7.17,,Heike Drechsler,GER,16.12.64,Rhede,12.07.1992
78,79,7.16,,Heike Drechsler,GER,16.12.64,Berlin,08.07.1987
79,79,7.16,+0.1,Heike Drechsler,GER,16.12.64,Seoul,29.09.1988
80,79,7.16,-0.7,Jackie Joyner-Kersee,USA,03.03.62,Seoul,29.09.1988
81,79,7.16,+0.8,Heike Drechsler,GER,16.12.64,Tokyo,25.08.1991
82,79,7.16,,Heike Drechsler,GER,16.12.64,Dillingen,17.05.1992
83,79,7.16,+1.7,Heike Drechsler,GER,16.12.64,La Habana,27.09.1992
84,79,7.16,+0.5,Malaika Mihambo,GER,03.02.94,Ad-Dawhah,06.10.2019
85,86,7.15,,Anisoara Cusmir,ROU,28.06.62,Bucuresti,15.05.1983
86,86,7.15,+2.0,Heike Drechsler,GER,16.12.64,Berlin,22.09.1985
87,86,7.15,+0.2,Heike Drechsler,GER,16.12.64,Bruxelles,05.09.1986
88,86,7.15,,Jackie Joyner-Kersee,USA,03.03.62,Indianapolis,13.08.1987
89,86,7.15,+0.1,Inessa Kravets,UKR,05.10.66,Zürich,19.08.1992
90,86,7.15,+1.7,Marion Jones,USA,12.10.75,Eugene,31.05.1998
91,92,7.14,-0.2,Heike Drechsler,GER,16.12.64,Stuttgart,27.08.1986
92,92,7.14,,Galina Chistyakova,RUS,26.07.62,Praha,28.06.1987
93,92,7.14,,Inessa Kravets,UKR,05.10.66,Kharkov,18.06.1988
94,92,7.14,,Heike Drechsler,GER,16.12.64,Rieti,09.09.1990
95,92,7.14,,Heike Drechsler,GER,16.12.64,Dillingen,17.05.1992
96,92,7.14,,Heike Drechsler,GER,16.12.64,Rhede,12.07.1992
97,92,7.14,-0.3,Marion Jones,USA,12.10.75,Roma,14.07.1998
98,99,7.13,+0.5,Heike Drechsler,GER,16.12.64,Berlin,15.07.1984
99,99,7.13,,Yelena Belevskaya,BLR,11.10.63,Tallinn,21.06.1986
100,99,7.13,,Jackie Joyner-Kersee,USA,03.03.62,Indianapolis,13.08.1987
101,99,7.13,,Heike Drechsler,GER,16.12.64,Potsdam,21.08.1987
102,99,7.13,+0.8,Tianna Bartoletta,USA,30.08.85,Rio de Janeiro,17.08.2016
103,10,7.12,+0.9,Heike Drechsler,GER,16.12.64,Dresden,19.05.1984
104,10,7.12,,Anisoara Cusmir,ROU,28.06.62,Sofia,17.06.1984
105,10,7.12,,Galina Chistyakova,RUS,26.07.62,Zürich,21.08.1985
106,10,7.12,,Heike Drechsler,GER,16.12.64,Jena,31.05.1986
107,10,7.12,,Galina Chistyakova,RUS,26.07.62,Moskva,07.07.1986
108,10,7.12,,Heike Drechsler,GER,16.12.64,Berlin,20.08.1986
109,10,7.12,,Heike Drechsler,GER,16.12.64,Praha,28.06.1987
110,10,7.12,,Jackie Joyner-Kersee,USA,03.03.62,Roma,04.09.1987
111,10,7.12,,Heike Drechsler,GER,16.12.64,Lausanne,12.07.1990
112,10,7.12,+0.6,Heike Drechsler,GER,16.12.64,Lausanne,08.07.1992
113,11,7.11,,Galina Chistyakova,RUS,26.07.62,Erfurt,22.06.1985
114,11,7.11,,Yelena Belevskaya,BLR,11.10.63,Karl-Marx-Stadt,20.06.1987
115,11,7.11,,Galina Chistyakova,RUS,26.07.62,Sochi,01.06.1988
116,11,7.11,,Galina Chistyakova,RUS,26.07.62,Praha,16.06.1988
117,11,7.11,,Heike Drechsler,GER,16.12.64,Rieti,09.09.1990
118,11,7.11,-1.3,Jackie Joyner-Kersee,USA,03.03.62,Tokyo,25.08.1991
119,11,7.11A,,Jackie Joyner-Kersee,USA,03.03.62,San José,28.05.1994
120,11,7.11,+0.1,Irina Simagina,RUS,25.05.82,Tula,31.07.2004
121,11,7.11,+1.7,Brittney Reese,USA,09.09.86,Eugene,26.06.2021
122,12,7.10,+0.6,Heike Drechsler,GER,16.12.64,Berlin,20.07.1984
123,12,7.10,+0.4,Heike Drechsler,GER,16.12.64,Erfurt,22.06.1985
124,12,7.10,,Helga Radtke,GER,16.05.62,Zürich,21.08.1985
125,12,7.10,,Yelena Belevskaya,BLR,11.10.63,Moskva,07.07.1986
126,12,7.10,,Heike Drechsler,GER,16.12.64,Karl-Marx-Stadt,20.06.1987
127,12,7.10,,Heike Drechsler,GER,16.12.64,Düsseldorf,19.06.1988
128,12,7.10,,Galina Chistyakova,RUS,26.07.62,Vladivostok,14.09.1988
129,12,7.10,,Heike Drechsler,GER,16.12.64,Dresden,18.08.1990
130,12,7.10,,Heike Drechsler,GER,16.12.64,Rieti,09.09.1990
131,12,7.10,+1.6,Heike Drechsler,GER,16.12.64,Villeneuve d'As,06.07.1992
132,12,7.10,+0.4,Heike Drechsler,GER,16.12.64,Lausanne,08.07.1992
133,12,7.10,+0.5,Heike Drechsler,GER,16.12.64,Stuttgart,15.08.1993
134,12,7.10,,Heike Drechsler,GER,16.12.64,Jena,03.06.1994
135,12,7.10,,Jackie Joyner-Kersee,USA,03.03.62,Paris,03.09.1994
136,12,7.10,+0.1,Jackie Joyner-Kersee,USA,03.03.62,Atlanta,18.05.1996
137,13,7.09,,Heike Drechsler,GER,16.12.64,Berlin,09.06.1984
138,13,7.09,+0.5,Heike Drechsler,GER,16.12.64,Berlin,15.07.1984
139,13,7.09,,Galina Chistyakova,RUS,26.07.62,Moskva,18.08.1985
140,13,7.09,,Heike Drechsler,GER,16.12.64,Jena,31.05.1986
141,13,7.09,,Helga Radtke,GER,16.05.62,Dresden,03.07.1986
142,13,7.09,,Irena Ozhenko,LTU,13.11.62,Budapest,12.09.1986
143,13,7.09,,Yelena Belevskaya,BLR,11.10.63,Moskva,07.06.1987
144,13,7.09A,,Jackie Joyner-Kersee,USA,03.03.62,San José,27.06.1987
145,13,7.09,,Helga Radtke,GER,16.05.62,Berlin,08.07.1987
146,13,7.09,,Yelena Belevskaya,BLR,11.10.63,Bryansk,18.07.1987
147,13,7.09,,Heike Drechsler,GER,16.12.64,Lausanne,12.07.1990
148,13,7.09,+0.1,Heike Drechsler,GER,16.12.64,Split,28.08.1990
149,13,7.09,+0.1,Heike Drechsler,GER,16.12.64,Tokyo,25.08.1991
150,13,7.09,,Heike Drechsler,GER,16.12.64,Rieti,06.09.1991
151,13,7.09,+1.1,Heike Drechsler,GER,16.12.64,Linz,13.08.1992
152,13,7.09A,,Heike Drechsler,GER,16.12.64,Pretoria,15.05.1993
153,13,7.09,+0.8,Heike Drechsler,GER,16.12.64,Stuttgart,15.08.1993
154,13,7.09,+0.5,Heike Drechsler,GER,16.12.64,Stuttgart,15.08.1993
155,13,7.09,+0.6,Brittney Reese,USA,09.09.86,Rio de Janeiro,17.08.2016
156,13,7.09,-0.1,Malaika Mihambo,GER,03.02.94,Ad-Dawhah,06.10.2019
157,13,7.09,+0.4,Malaika Mihambo,GER,03.02.94,Eugene,24.07.2022
158,15,7.08,,Heike Drechsler,GER,16.12.64,Jena,31.05.1986
159,15,7.08,,Yelena Belevskaya,BLR,11.10.63,Bryansk,18.07.1987
160,15,7.08,,Galina Chistyakova,RUS,26.07.62,Moskva,22.08.1987
161,15,7.08,,Galina Chistyakova,RUS,26.07.62,Moskva,22.08.1987
162,15,7.08,,Yelena Belevskaya,BLR,11.10.63,Sochi,01.06.1988
163,15,7.08,+1.1,Yelena Belevskaya,BLR,11.10.63,Leningrad,11.06.1988
164,15,7.08,+0.7,Galina Chistyakova,RUS,26.07.62,Barcelona,10.09.1989
165,15,7.08,,Yelena Sinchukova,RUS,23.01.61,Kyiv,11.07.1991
166,15,7.08A,+1.0,Heike Drechsler,GER,16.12.64,Sestriere,31.07.1991
167,15,7.08,+0.3,Heike Drechsler,GER,16.12.64,Tokyo,25.08.1991
168,15,7.08,,Heike Drechsler,GER,16.12.64,Rieti,06.09.1991
169,15,7.08,+1.2,Heike Drechsler,GER,16.12.64,Nice,15.07.1992
170,15,7.08,,Heike Drechsler,GER,16.12.64,Jena,03.06.1994
171,15,7.08,,Heike Drechsler,GER,16.12.64,Villeneuve d'As,08.07.1994
172,15,7.08,+0.6,Marion Jones,USA,12.10.75,Moskva,05.09.1998
173,17,7.07,,Heike Drechsler,GER,16.12.64,Jena,13.05.1984
174,17,7.07,,Heike Drechsler,GER,16.12.64,Berlin,20.07.1984
175,17,7.07,+0.6,Heike Drechsler,GER,16.12.64,Praha,17.08.1984
176,17,7.07,+1.0,Helga Radtke,GER,16.05.62,Praha,17.08.1984
177,17,7.07,,Heike Drechsler,GER,16.12.64,Leipzig,11.08.1985
178,17,7.07,,Galina Chistyakova,RUS,26.07.62,Zürich,21.08.1985
179,17,7.07,,Irena Ozhenko,LTU,13.11.62,Budapest,12.09.1986
180,17,7.07,,Galina Chistyakova,RUS,26.07.62,Vladivostok,14.09.1988
181,17,7.07,+1.3,Galina Chistyakova,RUS,26.07.62,Bratislava,20.06.1990
182,17,7.07,,Heike Drechsler,GER,16.12.64,Dresden,18.08.1990
183,17,7.07,+1.0,Heike Drechsler,GER,16.12.64,Alcobendas,07.06.1991
184,17,7.07A,,Heike Drechsler,GER,16.12.64,Pretoria,15.05.1993
185,17,7.07,,Heike Drechsler,GER,16.12.64,Berlin,27.08.1993
186,17,7.07,,Heike Drechsler,GER,16.12.64,Sankt Peterburg,28.07.1994
187,17,7.07A,+0.5,Heike Drechsler,GER,16.12.64,Johannesburg,13.09.1998
188,17,7.07,-0.6,Tatyana Lebedeva,RUS,21.07.76,Tula,31.07.2004
