,0,1,2,3,4,5,6,7,8
0,1,7.63A,2.1,Heike Drechsler,GER,16.12.64,1,Sestriere,21.07.1992
1,2,7.45,2.6,Jackie Joyner-Kersee,USA,03.03.62,1,Indianapolis,23.07.1988
2,3,7.39,2.6,Heike Drechsler,GER,16.12.64,1,Padova,15.09.1991
3,3,7.39,2.9,Heike Drechsler,GER,16.12.64,1,Sevilla,06.06.1992
4,3,7.39A,3.3,Heike Drechsler,GER,16.12.64,2,Sestriere,31.07.1994
5,6,7.36,2.2,Galina Chistyakova,RUS,26.07.62,1,Volgograd,11.06.1989
6,7,7.35,3.4,Heike Drechsler,GER,16.12.64,1,Jena,28.06.1986
7,8,7.33,3.5,Heike Drechsler,GER,16.12.64,1,Jena,12.06.1985
8,8,7.33,2.1,Heike Drechsler,GER,16.12.64,1,Oslo,04.07.1987
9,8,7.33,3.3,Jackie Joyner-Kersee,USA,03.03.62,1,Oslo,22.07.1994
10,11,7.27,2.2,Heike Drechsler,GER,16.12.64,1,Helsinki,14.08.1983
11,11,7.27,3.7,Galina Chistyakova,RUS,26.07.62,1,Birmingham,24.06.1989
12,11,7.27,2.7,Yulimar Rojas,VEN,21.10.95,1,La Nucia,13.06.2021
13,14,7.26,2.9,Heike Drechsler,GER,16.12.64,1,Malmö,07.08.1990
14,15,7.25A,2.3,Jackie Joyner-Kersee,USA,03.03.62,1,San José,24.06.1987
15,16,7.24,2.8,Tara Davis Woodhall,USA,20.05.99,1,Chula Vista,09.07.2022
16,17,7.23A,4.3,Fiona May,ITA,12.12.69,1,Sestriere,29.07.1995
17,18,7.22,4.3,Anastassia Mirochuk-Ivanova,BLR,13.04.89,1,Grodno,06.07.2012
18,19,7.21,3.6,Yelena Belevskaya,BLR,11.10.63,1,Lisboa,28.07.1991
19,19,7.21,2.8,Marion Jones,USA,12.10.75,1,New Orleans,20.06.1998
20,21,7.20,2.1,Heike Drechsler,GER,16.12.64,1,Frankfurt,30.06.1991
21,21,7.20,2.3,Heike Drechsler,GER,16.12.64,1,Chemnitz,18.06.1994
22,21,7.20,2.3,Tatyana Kotova,RUS,11.12.76,1,Madrid,16.07.2005
23,24,7.19,3.2,Helga Radtke,GER,16.05.62,1,Berlin,25.08.1987
24,24,7.19A,2.8,Larisa Berezhnaya,UKR,28.02.61,2,Sestriere,31.07.1991
25,24,7.19A,3.7,Susen Tiedtke,GER,23.01.69,1,Sestriere,28.07.1993
26,24,7.19,3.1,Brittney Reese,USA,09.09.86,1,Chula Vista,19.05.2018
27,28,7.18,3.3,Larisa Berezhnaya,UKR,28.02.61,2,Birmingham,24.06.1989
28,29,7.17,3.6,Eva Murková,SVK,29.05.62,1,Nitra,26.08.1984
29,29,7.17,2.6,Maurren Higa Maggi,BRA,25.06.76,1,São Paulo,13.04.2002
30,31,7.16,3.3,Inessa Kravets,UKR,05.10.66,1,Villeneuve d'Ascq,06.07.1992
31,32,7.15,3.4,Anisoara Cusmir,ROU,28.06.62,2,Helsinki,14.08.1983
32,32,7.15,3.1,Jackie Joyner-Kersee,USA,03.03.62,2,Rieti,07.09.1986
33,32,7.15,3.1,Larisa Berezhnaya,UKR,28.02.61,3,Villeneuve d'Ascq,06.07.1992
34,32,7.15,2.8,Janay DeLoach,USA,12.10.85,q,Eugene,29.06.2012
35,36,7.14,,Helga Radtke,GER,16.05.62,2,Jena,12.06.1985
36,36,7.14,2.5,Yelena Belevskaya,BLR,11.10.63,1,Leningrad,08.06.1986
37,36,7.14,2.3,Jackie Joyner-Kersee,USA,03.03.62,1,Knoxville,18.06.1994
38,36,7.14A,4.5,Marieke Veltman,USA,18.09.71,2,Sestriere,29.07.1995
39,36,7.14,2.2,Blessing Okagbare,NGR,09.10.88,2,Ad-Dawhah,10.05.2013
40,41,7.13,2.3,Larisa Berezhnaya,UKR,28.02.61,1,Chiba,10.06.1990
41,41,7.13,2.2,Heike Drechsler,GER,16.12.64,1,Cottbus,23.06.1993
