,0,1,2,3,4,5,6
0,1,4.97,Yelena Isinbayeva,RUS,03.06.82,Donetsk,15.02.2009
1,2,4.92,Yelena Isinbayeva,RUS,03.06.82,Stockholm,23.02.2012
2,3,4.90A,Jennifer Suhr,USA,06.02.82,Albuquerque,02.03.2013
3,3,4.90,Sandi Morris,USA,08.07.92,Portland,12.03.2016
4,3,4.90,Sandi Morris,USA,08.07.92,Birmingham,03.03.2018
5,6,4.87,Yelena Isinbayeva,RUS,03.06.82,Donetsk,16.02.2008
6,7,4.86,Yelena Isinbayeva,RUS,03.06.82,Donetsk,15.02.2009
7,7,4.86A,Katie Moon,USA,13.06.91,Albuquerque,18.02.2018
8,7,4.86,Anzhelika Sidorova,RUS,28.06.91,Madrid,08.02.2019
9,10,4.85,Jennifer Suhr,USA,06.02.82,Portland,12.03.2016
10,10,4.85,Jennifer Suhr,USA,06.02.82,Portland,17.03.2016
11,10,4.85,Anzhelika Sidorova,RUS,28.06.91,Birmingham,03.03.2018
12,10,4.85A,Sandi Morris,USA,08.07.92,Albuquerque,15.02.2020
13,14,4.83,Sandi Morris,USA,08.07.92,Fayetteville,07.02.2021
14,15,4.82,Yelena Isinbayeva,RUS,03.06.82,Donetsk,10.02.2007
15,15,4.82,Yelena Isinbayeva,RUS,03.06.82,Stockholm,23.02.2012
16,15,4.82,Jennifer Suhr,USA,06.02.82,Brockport,30.01.2016
17,15,4.82A,Demi Payne,USA,30.09.91,Albuquerque,06.02.2016
18,15,4.82,Sandi Morris,USA,08.07.92,Zürich,23.08.2017
19,15,4.82,Anzhelika Sidorova,RUS,28.06.91,Zürich,28.08.2019
20,21,4.81,Yelena Isinbayeva,RUS,03.06.82,Donetsk,15.02.2004
21,21,4.81,Yelena Isinbayeva,RUS,03.06.82,Budapest,06.03.2004
22,21,4.81,Yelena Isinbayeva,RUS,03.06.82,Donetsk,12.02.2006
23,21,4.81,Yelena Isinbayeva,RUS,03.06.82,Donetsk,12.02.2006
24,21,4.81,Jennifer Suhr,USA,06.02.82,Kent,16.01.2016
25,21,4.81,Anzhelika Sidorova,RUS,28.06.91,Moskva,04.02.2018
26,21,4.81A,Katie Moon,USA,13.06.91,Albuquerque,18.02.2018
27,21,4.81,Katie Moon,USA,13.06.91,Boston,26.01.2019
28,21,4.81,Sandi Morris,USA,08.07.92,New York City,08.02.2020
29,21,4.81,Anzhelika Sidorova,RUS,28.06.91,Clermont-Ferrand,19.02.2022
30,31,4.80,Yelena Isinbayeva,RUS,03.06.82,Liévin,26.02.2005
31,31,4.80,Yelena Isinbayeva,RUS,03.06.82,Madrid,06.03.2005
32,31,4.80,Anna Rogowska,POL,12.05.81,Paris,06.03.2011
33,31,4.80,Holly Bradshaw,GBR,02.11.91,Villeurbanne,21.01.2012
34,31,4.80A,Jennifer Suhr,USA,06.02.82,Albuquerque,02.03.2013
35,31,4.80,Ekateríni Stefanídi,GRE,04.02.90,New York City,20.02.2016
36,31,4.80,Demi Payne,USA,30.09.91,New York City,20.02.2016
37,31,4.80,Sandi Morris,USA,08.07.92,Portland,17.03.2016
38,31,4.80,Ekateríni Stefanídi,GRE,04.02.90,Beograd,04.03.2017
39,31,4.80A,Sandi Morris,USA,08.07.92,Reno,12.01.2018
40,31,4.80,Anzhelika Sidorova,RUS,28.06.91,Clermont-Ferrand,25.02.2018
41,31,4.80,Katie Moon,USA,13.06.91,Clermont-Ferrand,25.02.2018
42,31,4.80,Anzhelika Sidorova,RUS,28.06.91,Birmingham,03.03.2018
43,31,4.80,Sandi Morris,USA,08.07.92,Birmingham,03.03.2018
44,31,4.80,Anzhelika Sidorova,RUS,28.06.91,Madrid,08.02.2019
45,31,4.80,Anzhelika Sidorova,RUS,28.06.91,Glasgow,03.03.2019
46,31,4.80A,Sandi Morris,USA,08.07.92,Albuquerque,15.02.2020
47,31,4.80,Anzhelika Sidorova,RUS,28.06.91,Moskva,29.02.2020
48,31,4.80,Holly Bradshaw,GBR,02.11.91,Rouen,06.02.2021
49,31,4.80,Anzhelika Sidorova,RUS,28.06.91,Moskva,21.02.2021
50,31,4.80,Anzhelika Sidorova,RUS,28.06.91,Liévin,17.02.2022
51,52,4.79,Yelena Isinbayeva,RUS,03.06.82,Birmingham,18.02.2005
52,53,4.78,Sandi Morris,USA,08.07.92,Liévin,19.02.2020
53,53,4.78,Sandi Morris,USA,08.07.92,Fayetteville,07.02.2021
54,53,4.78,Katie Moon,USA,13.06.91,Liévin,15.02.2023
55,56,4.77,Yelena Isinbayeva,RUS,03.06.82,Donetsk,15.02.2004
56,56,4.77,Yelena Isinbayeva,RUS,03.06.82,Donetsk,16.02.2008
57,56,4.77,Sandi Morris,USA,08.07.92,Zürich,23.08.2017
58,56,4.77,Ekateríni Stefanídi,GRE,04.02.90,Zürich,23.08.2017
59,60,4.76,Stacy Dragila,USA,25.03.71,Budapest,06.03.2004
60,60,4.76,Yelena Isinbayeva,RUS,03.06.82,Budapest,06.03.2004
61,60,4.76,Yelena Isinbayeva,RUS,03.06.82,Donetsk,15.02.2009
62,60,4.76,Fabiana Murer,BRA,16.03.81,Stuttgart,06.02.2010
63,60,4.76A,Demi Payne,USA,30.09.91,Albuquerque,06.02.2016
64,60,4.76,Anzhelika Sidorova,RUS,28.06.91,Moskva,12.02.2018
65,60,4.76A,Katie Moon,USA,13.06.91,Albuquerque,18.02.2018
66,60,4.76A,Jennifer Suhr,USA,06.02.82,Albuquerque,18.02.2018
67,60,4.76A,Sandi Morris,USA,08.07.92,Albuquerque,18.02.2018
68,69,4.75,Svetlana Feofanova,RUS,16.07.80,Birmingham,16.03.2003
69,69,4.75,Yelena Isinbayeva,RUS,03.06.82,Donetsk,12.02.2005
70,69,4.75,Yelena Isinbayeva,RUS,03.06.82,Moskva,11.03.2006
71,69,4.75,Yelena Isinbayeva,RUS,03.06.82,Praha,26.02.2009
72,69,4.75,Yelena Isinbayeva,RUS,03.06.82,Moskva,07.02.2010
73,69,4.75,Fabiana Murer,BRA,16.03.81,Ad-Dawhah,14.03.2010
74,69,4.75,Yelena Isinbayeva,RUS,03.06.82,Donetsk,12.02.2011
75,69,4.75,Anna Rogowska,POL,12.05.81,Paris,06.03.2011
76,69,4.75,Anzhelika Sidorova,RUS,28.06.91,Praha,08.03.2015
77,69,4.75,Jennifer Suhr,USA,06.02.82,Boston,28.02.2016
78,69,4.75,Jennifer Suhr,USA,06.02.82,Portland,12.03.2016
79,69,4.75,Sandi Morris,USA,08.07.92,Portland,12.03.2016
80,69,4.75,Jennifer Suhr,USA,06.02.82,Portland,17.03.2016
81,69,4.75,Ekateríni Stefanídi,GRE,04.02.90,Portland,17.03.2016
82,69,4.75,Sandi Morris,USA,08.07.92,Portland,17.03.2016
83,69,4.75,Sandi Morris,USA,08.07.92,Birmingham,03.03.2018
84,69,4.75,Ekateríni Stefanídi,GRE,04.02.90,Birmingham,03.03.2018
85,69,4.75,Anzhelika Sidorova,RUS,28.06.91,Novocheboksarsk,12.01.2019
86,69,4.75,Anzhelika Sidorova,RUS,28.06.91,Glasgow,03.03.2019
