,0,1,2,3,4,5,6,7
0,1,22.63,Natalya Lisovskaya,RUS,16.07.62,1,Moskva,07.06.1987
1,2,22.55,Natalya Lisovskaya,RUS,16.07.62,1,Tallinn,05.07.1988
2,3,22.53,Natalya Lisovskaya,RUS,16.07.62,1,Sochi,27.05.1984
3,3,22.53,Natalya Lisovskaya,RUS,16.07.62,1,Kyiv,14.08.1988
4,5,22.45,Ilona Slupianek,GDR,24.09.56,1,Potsdam,11.05.1980
5,6,22.41,Ilona Slupianek,GDR,24.09.56,1,Moskva,24.07.1980
6,7,22.4,Ilona Slupianek,GDR,24.09.56,1,Berlin,03.06.1983
7,8,22.38,Ilona Slupianek,GDR,24.09.56,1,Karl-Marx-Stadt,25.05.1980
8,9,22.36,Ilona Slupianek,GDR,24.09.56,1,Celje,02.05.1980
9,10,22.34,Ilona Slupianek,GDR,24.09.56,1,Berlin,07.05.1980
10,10,22.34,Ilona Slupianek,GDR,24.09.56,1,Cottbus,18.07.1980
11,12,22.32,Helena Fibingerová,CZE,13.07.49,1,Nitra,20.08.1977
12,13,22.24,Natalya Lisovskaya,RUS,16.07.62,1,Seoul,01.10.1988
13,14,22.22,Ilona Slupianek,GDR,24.09.56,1,Potsdam,13.07.1980
14,15,22.19,Claudia Losch,GER,10.01.60,1,Hainfeld,23.08.1987
15,16,22.13,Ilona Slupianek,GDR,24.09.56,1,Split,29.04.1980
16,17,22.06,Ilona Slupianek,GDR,24.09.56,1,Berlin,15.08.1978
17,17,22.06,Natalya Lisovskaya,RUS,16.07.62,1,Moskva,06.08.1988
18,19,22.05,Ilona Slupianek,GDR,24.09.56,1,Berlin,28.05.1980
19,19,22.05,Ilona Slupianek,GDR,24.09.56,1,Potsdam,31.05.1980
20,21,22.04,Ilona Slupianek,GDR,24.09.56,1,Potsdam,04.07.1979
21,21,22.04,Ilona Slupianek,GDR,24.09.56,1,Potsdam,29.07.1979
22,23,21.99,Helena Fibingerová,CZE,13.07.49,1,Opava,26.09.1976
23,24,21.98,Ilona Slupianek,GDR,24.09.56,1,Berlin,17.07.1979
24,25,21.96,Helena Fibingerová,CZE,13.07.49,1,Ostrava,08.06.1977
25,25,21.96,Natalya Lisovskaya,RUS,16.07.62,1,Praha,16.08.1984
26,25,21.96,Natalya Lisovskaya,RUS,16.07.62,1,Vilnius,28.08.1988
27,28,21.95,Natalya Lisovskaya,RUS,16.07.62,1,Edinburgh,29.07.1988
28,29,21.92,Natalya Lisovskaya,RUS,16.07.62,1,Sochi,01.06.1988
29,30,21.91,Helena Fibingerová,CZE,13.07.49,1,München,17.06.1977
30,31,21.89,Ivanka Khristova,BUL,19.11.41,1,Belmeken,04.07.1976
31,32,21.87,Ivanka Khristova,BUL,19.11.41,1,Belmeken,03.07.1976
32,32,21.87,Helena Fibingerová,CZE,13.07.49,1,Fürth,10.06.1978
33,32,21.87,Ilona Slupianek,GDR,24.09.56,1,Sofia,22.05.1983
34,35,21.86,Marianne Adam,GDR,19.09.51,1,Leipzig,23.06.1979
35,35,21.86,Natalya Lisovskaya,RUS,16.07.62,1,Praha,09.06.1984
36,37,21.85,Ilona Slupianek,GDR,24.09.56,1,Berlin,15.07.1984
37,38,21.81,Ilona Slupianek,GDR,24.09.56,1,Los Angeles,26.06.1983
38,39,21.8,Ilona Slupianek,GDR,24.09.56,1,Potsdam,18.08.1982
39,40,21.79,Ilona Slupianek,GDR,24.09.56,1,Potsdam,16.07.1977
40,40,21.79,Ilona Slupianek,GDR,24.09.56,1,Sofia,19.08.1978
41,42,21.78,Ilona Slupianek,GDR,24.09.56,1,Jena,17.05.1980
42,42,21.78,Ilona Slupianek,GDR,24.09.56,1,Dresden,01.07.1982
43,44,21.76,Helena Fibingerová,CZE,13.07.49,1,Praha,25.08.1978
44,44,21.76,Li Meisu,CHN,17.04.59,1,Shijiazhuang,23.04.1988
45,46,21.75,Helena Fibingerová,CZE,13.07.49,1,Düsseldorf,01.07.1977
46,46,21.75,Ilona Slupianek,GDR,24.09.56,1,Berlin,09.07.1980
47,46,21.75,Ilona Slupianek,GDR,24.09.56,1,Berlin,19.05.1983
48,46,21.75,Natalya Lisovskaya,RUS,16.07.62,1,Sochi,20.05.1984
