,0,1,2,3,4,5,6,7
0,1,15.74,Yulimar Rojas,VEN,21.10.95,1,Beograd,20.03.2022
1,2,15.43,Yulimar Rojas,VEN,21.10.95,1,Madrid,21.02.2020
2,3,15.41,Yulimar Rojas,VEN,21.10.95,1,Madrid,02.03.2022
3,4,15.36,Tatyana Lebedeva,RUS,21.07.76,1,Budapest,06.03.2004
4,5,15.16,Ashia Hansen,GBR,05.12.71,1,Valencia,28.02.1998
5,6,15.14,Olga Rypakova,KAZ,30.11.84,1,Ad-Dawhah,13.03.2010
6,7,15.12A,Jasmine Moore,USA,01.05.01,1,Albuquerque,11.03.2023
7,8,15.08,Marija Sestak,SLO,17.04.79,1,Peanía,13.02.2008
8,9,15.05,Yargeris Savigne,CUB,13.11.84,1,Valencia,08.03.2008
9,10,15.03,Iolanda Chen,RUS,26.07.61,1,Barcelona,11.03.1995
10,10,15.03,Yulimar Rojas,VEN,21.10.95,1,Metz,09.02.2020
11,12,15.02,Ashia Hansen,GBR,05.12.71,1,Maebashi,07.03.1999
12,13,15.01,Inna Lasovskaya,RUS,17.12.69,1,Paris,08.03.1997
13,13,15.01,Ashia Hansen,GBR,05.12.71,1,Birmingham,15.03.2003
14,15,15.00,Tatyana Lebedeva,RUS,21.07.76,1,Moskva,18.02.2001
15,16,14.97,Tatyana Lebedeva,RUS,21.07.76,1,Samara,29.01.2004
16,16,14.97,Tatyana Lebedeva,RUS,21.07.76,1,Moskva,01.02.2004
17,18,14.95,Tatyana Lebedeva,RUS,21.07.76,1,Moskva,11.03.2006
18,19,14.94,Iva Prandzheva,BUL,15.02.72,2,Maebashi,07.03.1999
19,19,14.94,Cristina Nicolau,ROU,09.08.77,1,Bucuresti,05.02.2000
20,19,14.94,Tatyana Lebedeva,RUS,21.07.76,1,Volgograd,17.01.2004
21,19,14.94,Oksana Udmurtova,RUS,01.02.82,1,Tallinn,20.02.2008
22,23,14.93,Anna Pyatykh,RUS,04.04.81,2,Moskva,11.03.2006
23,24,14.92,Yulimar Rojas,VEN,21.10.95,1,Madrid,08.02.2019
24,25,14.91,Rodica Mateescu,ROU,13.03.71,1,Bucuresti,01.03.1997
25,25,14.91,Tereza Marinova,BUL,05.09.77,1,Lisboa,11.03.2001
26,27,14.90,Inna Lasovskaya,RUS,17.12.69,1,Liévin,13.02.1994
27,27,14.90,Yamilé Aldama,SUD,14.08.72,2,Budapest,06.03.2004
28,29,14.89,Tatyana Lebedeva,RUS,21.07.76,1,Piræus,21.02.2001
29,30,14.88,Inna Lasovskaya,RUS,17.12.69,1,Paris,13.03.1994
30,30,14.88,Yamilé Aldama,CUB,14.08.72,1,Karlsruhe,28.02.2003
31,30,14.88,Françoise Mbango Etone,CMR,14.04.76,2,Birmingham,15.03.2003
32,30,14.88,Olga Saladukha,UKR,04.06.83,1,Göteborg,03.03.2013
33,30,14.88A,Charisma Taylor,BAH,03.09.99,2,Albuquerque,11.03.2023
34,35,14.87,Rodica Mateescu,ROU,13.03.71,1,Bucuresti,24.01.1998
35,35,14.87,Sárka Kaspárková,CZE,20.05.71,3,Maebashi,07.03.1999
36,37,14.86,Rodica Mateescu,ROU,13.03.71,1,Dortmund,30.01.1998
37,37,14.86,Yamilé Aldama,SUD,14.08.72,3,Moskva,11.03.2006
38,37,14.86,Yargeris Savigne,CUB,13.11.84,2,Ad-Dawhah,13.03.2010
39,40,14.85,Ashia Hansen,GBR,05.12.71,1,Birmingham,15.02.1998
40,40,14.85,Tatyana Lebedeva,RUS,21.07.76,2,Lisboa,11.03.2001
41,40,14.85,Tatyana Lebedeva,RUS,21.07.76,1,Madrid,14.03.2001
42,43,14.84,Hrysopiyí Devetzí,GRE,02.01.76,1,Athínai,04.03.2003
43,43,14.84,Trecia Smith,JAM,05.11.75,4,Moskva,11.03.2006
44,43,14.84,Yargeris Savigne,CUB,13.11.84,1,Düsseldorf,03.02.2010
45,43,14.84,Olga Rypakova,KAZ,30.11.84,1,Karaganda,27.01.2012
46,47,14.83,Yelena Lebedyenko,RUS,16.01.71,1,Samara,01.02.2001
47,48,14.82,Iva Prandzheva,BUL,15.02.72,1,Liévin,18.02.1996
48,48,14.82,Yamilé Aldama,GBR,14.08.72,1,Istanbul,10.03.2012
49,50,14.81,Rodica Mateescu,ROU,13.03.71,1,Bucuresti,25.01.1997
50,50,14.81,Ashia Hansen,GBR,05.12.71,1,Liévin,21.02.1999
51,50,14.81,Tereza Marinova,BUL,05.09.77,1,Wien,02.03.2002
52,50,14.81,Hrysopiyí Devetzí,GRE,02.01.76,1,Athínai,22.02.2004
53,50,14.81,Magdelin Martínez,ITA,10.02.76,q,Budapest,05.03.2004
54,50,14.81,Yekaterina Koneva,RUS,25.09.88,1,Moskva,25.01.2019
55,50,14.81,Liadagmis Povea,CUB,06.02.96,1,Liévin,15.02.2023
56,57,14.80,Yargeris Savigne,CUB,13.11.84,1,Düsseldorf,06.02.2007
57,58,14.79,Olga Saladukha,UKR,04.06.83,1,Stockholm,23.02.2012
58,58,14.79,Yulimar Rojas,VEN,21.10.95,1,Madrid,28.01.2017
59,60,14.78,Inna Lasovskaya,RUS,17.12.69,1,Moskva,27.01.1994
60,60,14.78,Rodica Mateescu,ROU,13.03.71,1,Stuttgart,01.02.1998
61,60,14.78,Sárka Kaspárková,CZE,20.05.71,1,Liévin,22.02.1998
62,60,14.78,Tatyana Lebedeva,RUS,21.07.76,1,Piræus,08.02.2000
63,60,14.78,Adelina Gavrila,ROU,26.11.78,1,Bucuresti,02.02.2008
64,65,14.77,Rodica Mateescu,ROU,13.03.71,1,Bucuresti,08.02.1997
65,65,14.77,Sárka Kaspárková,CZE,20.05.71,2,Liévin,21.02.1999
66,65,14.77,Yargeris Savigne,CUB,13.11.84,1,Düsseldorf,08.02.2008
67,68,14.76,Sárka Kaspárková,CZE,20.05.71,2,Valencia,28.02.1998
68,68,14.76,Sárka Kaspárková,CZE,20.05.71,1,Birmingham,14.02.1999
69,68,14.76,Ashia Hansen,GBR,05.12.71,2,Birmingham,14.02.1999
70,68,14.76,Tereza Marinova,BUL,05.09.77,1,Piræus,24.02.1999
71,68,14.76,Tereza Marinova,BUL,05.09.77,4,Maebashi,07.03.1999
72,68,14.76,Adelina Gavrila,ROU,26.11.78,1,Bucuresti,22.02.2003
73,74,14.75,Ana Biryukova,RUS,27.09.67,1,Moskva,14.02.1995
74,74,14.75,Sárka Kaspárková,CZE,20.05.71,1,Praha,14.02.1998
75,74,14.75,Tatyana Lebedeva,RUS,21.07.76,1,Volgograd,06.02.2000
76,74,14.75,Adelina Gavrila,ROU,26.11.78,2,Athínai,04.03.2003
77,74,14.75,Trecia Smith,JAM,05.11.75,1,Samara,04.02.2006
78,79,14.74,Inna Lasovskaya,RUS,17.12.69,1,Budapest,01.02.1997
79,79,14.74,Yelena Lebedyenko,RUS,16.01.71,1,Moskva,15.01.1999
80,79,14.74,Viktoriya Valyukevich,RUS,22.05.82,1,Madrid,06.03.2005
81,79,14.74,Maryna Bekh-Romanchuk,UKR,18.07.95,2,Beograd,20.03.2022
82,83,14.73,Ashia Hansen,GBR,05.12.71,2,Liévin,22.02.1998
83,83,14.73,Hrysopiyí Devetzí,GRE,02.01.76,3,Budapest,06.03.2004
84,83,14.73,Ana Peleteiro,ESP,02.12.95,1,Glasgow,03.03.2019
85,86,14.72,Ana Biryukova,RUS,27.09.67,2,Paris,13.03.1994
86,86,14.72,Yamilé Aldama,CUB,14.08.72,1,Tallinn,05.03.2003
87,86,14.72,Kène Ndoye,SEN,20.11.78,3,Birmingham,15.03.2003
88,86,14.72,Yargeris Savigne,CUB,13.11.84,5,Moskva,11.03.2006
89,90,14.71,Iva Prandzheva,BUL,15.02.72,2,Barcelona,11.03.1995
90,90,14.71,Sárka Kaspárková,CZE,20.05.71,1,Praha,20.01.1999
91,90,14.71,Tereza Marinova,BUL,05.09.77,1,Liévin,24.02.2002
92,90,14.71,Ashia Hansen,GBR,05.12.71,2,Wien,02.03.2002
93,90,14.71,Ashia Hansen,GBR,05.12.71,1,Birmingham,21.02.2003
94,90,14.71,Tatyana Lebedeva,RUS,21.07.76,q,Budapest,05.03.2004
95,90,14.71,Trecia Smith,JAM,05.11.75,4,Budapest,06.03.2004
96,97,14.70,Ashia Hansen,GBR,05.12.71,2,Paris,08.03.1997
97,97,14.70,Tereza Marinova,BUL,05.09.77,1,Piræus,13.02.1999
98,97,14.70,Oksana Rogova,RUS,07.10.78,1,Volgograd,06.02.2002
99,97,14.70,Adelina Gavrila,ROU,26.11.78,1,Peanía,09.02.2008
100,10,14.69,Ana Biryukova,RUS,27.09.67,1,Madrid,09.02.1995
101,10,14.69,Yelena Lebedyenko,RUS,16.01.71,1,Moskva,14.02.1999
102,10,14.69,Anna Pyatykh,RUS,04.04.81,1,Moskva,17.02.2006
103,10,14.69,Yekaterina Koneva,RUS,25.09.88,1,Praha,08.03.2015
104,10,14.69,Yulimar Rojas,VEN,21.10.95,1,Madrid,23.01.2016
105,10,14.68,Tatyana Lebedeva,RUS,21.07.76,1,Gent,26.02.2000
106,10,14.68,Marija Sestak,SLO,17.04.79,2,Valencia,08.03.2008
107,10,14.68,Anastasiya Potapova,RUS,06.09.85,1,Volgograd,24.01.2009
108,10,14.68,Anastasiya Potapova,RUS,06.09.85,1,Torino,08.03.2009
109,10,14.68,Yekaterina Koneva,RUS,25.09.88,1,Moskva,24.01.2015
110,11,14.67,Inna Lasovskaya,RUS,17.12.69,1,Grenoble,06.02.1994
111,11,14.67,Inessa Kravets,UKR,05.10.66,1,Moskva,27.01.1995
112,11,14.67,Iolanda Chen,RUS,26.07.61,2,Madrid,09.02.1995
113,11,14.67,Magdelin Martínez,ITA,10.02.76,5,Budapest,06.03.2004
114,11,14.67,Yekaterina Koneva,RUS,25.09.88,1,Moskva,03.02.2019
115,11,14.66,Sárka Kaspárková,CZE,20.05.71,3,Paris,08.03.1997
116,11,14.66,Tatyana Lebedeva,RUS,21.07.76,1,Karlsruhe,29.01.2000
117,11,14.66,Yelena Lebedyenko,RUS,16.01.71,1,Samara,30.01.2000
