,0,1,2,3,4,5,6
0,1,15.36,Yulimar Rojas,VEN,21.10.95,Beograd,20.03.2022
1,2,15.35,Yulimar Rojas,VEN,21.10.95,Madrid,02.03.2022
2,3,15.29,Yulimar Rojas,VEN,21.10.95,Madrid,21.02.2020
3,4,15.25,Tatyana Lebedeva,RUS,21.07.76,Budapest,06.03.2004
4,5,15.19,Yulimar Rojas,VEN,21.10.95,Beograd,20.03.2022
5,6,15.16,Tatyana Lebedeva,RUS,21.07.76,Budapest,06.03.2004
6,7,15.15,Tatyana Lebedeva,RUS,21.07.76,Budapest,06.03.2004
7,8,15.08A,Jasmine Moore,USA,01.05.01,Albuquerque,11.03.2023
8,9,15.04,Yulimar Rojas,VEN,21.10.95,Beograd,20.03.2022
9,10,14.94,Inna Lasovskaya,RUS,17.12.69,Paris,08.03.1997
10,10,14.94,Yulimar Rojas,VEN,21.10.95,Metz,09.02.2020
11,12,14.93,Olga Rypakova,KAZ,30.11.84,Ad-Dawhah,13.03.2010
12,13,14.92,Iva Prandzheva,BUL,15.02.72,Maebashi,07.03.1999
13,13,14.92,Tatyana Lebedeva,RUS,21.07.76,Moskva,11.03.2006
14,15,14.91,Yulimar Rojas,VEN,21.10.95,Metz,09.02.2020
15,16,14.90,Yulimar Rojas,VEN,21.10.95,Madrid,02.03.2022
16,17,14.89,Tatyana Lebedeva,RUS,21.07.76,Samara,29.01.2004
17,17,14.89,Yargeris Savigne,CUB,13.11.84,Valencia,08.03.2008
18,19,14.88,Tatyana Lebedeva,RUS,21.07.76,Moskva,01.02.2004
19,20,14.86,Rodica Mateescu,ROU,13.03.71,Bucuresti,24.01.1998
20,20,14.86,Ashia Hansen,GBR,05.12.71,Maebashi,07.03.1999
21,20,14.86A,Jasmine Moore,USA,01.05.01,Albuquerque,11.03.2023
22,23,14.84,Tatyana Lebedeva,RUS,21.07.76,Volgograd,17.01.2004
23,24,14.83,Sárka Kaspárková,CZE,20.05.71,Maebashi,07.03.1999
24,25,14.82,Tatyana Lebedeva,RUS,21.07.76,Moskva,11.03.2006
25,25,14.82A,Jasmine Moore,USA,01.05.01,Albuquerque,11.03.2023
26,27,14.81,Inna Lasovskaya,RUS,17.12.69,Paris,11.03.1994
27,27,14.81,Inna Lasovskaya,RUS,17.12.69,Paris,13.03.1994
28,27,14.81,Tatyana Lebedeva,RUS,21.07.76,Moskva,01.02.2004
29,30,14.80,Sárka Kaspárková,CZE,20.05.71,Maebashi,07.03.1999
30,30,14.80,Yulimar Rojas,VEN,21.10.95,Madrid,08.02.2019
31,32,14.79,Rodica Mateescu,ROU,13.03.71,Bucuresti,24.01.1998
32,32,14.79,Tatyana Lebedeva,RUS,21.07.76,Piræus,21.02.2001
33,32,14.79,Yamilé Aldama,SUD,14.08.72,Budapest,06.03.2004
34,35,14.78,Rodica Mateescu,ROU,13.03.71,Bucuresti,25.01.1997
35,35,14.78,Tatyana Lebedeva,RUS,21.07.76,Madrid,14.03.2001
36,35,14.78,Trecia Smith,JAM,05.11.75,Moskva,11.03.2006
37,35,14.78,Olga Rypakova,KAZ,30.11.84,Ad-Dawhah,13.03.2010
38,39,14.77,Ashia Hansen,GBR,05.12.71,Birmingham,15.03.2003
39,39,14.77,Yamilé Aldama,SUD,14.08.72,Moskva,11.03.2006
40,39,14.77,Oksana Udmurtova,RUS,01.02.82,Tallinn,20.02.2008
41,42,14.76,Rodica Mateescu,ROU,13.03.71,Dortmund,30.01.1998
42,42,14.76,Tereza Marinova,BUL,05.09.77,Maebashi,07.03.1999
43,42,14.76,Tatyana Lebedeva,RUS,21.07.76,Moskva,11.03.2006
44,45,14.75,Rodica Mateescu,ROU,13.03.71,Bucuresti,01.03.1997
45,45,14.75,Iva Prandzheva,BUL,15.02.72,Maebashi,07.03.1999
46,47,14.74A,Jasmine Moore,USA,01.05.01,Albuquerque,11.03.2023
