,0,1,2,3,4,5,6,7,8
0,1,15.56,3.5,Yulimar Rojas,VEN,21.10.95,1,Lausanne,26.08.2021
1,2,15.34,2.2,Yulimar Rojas,VEN,21.10.95,1,Madrid,19.06.2021
2,3,15.24A,4.2,Magdelin Martínez,ITA,10.02.76,1,Sestriere,01.08.2004
3,4,15.18,2.1,Caterine Ibargüen,COL,12.02.84,1,Eugene,30.05.2015
4,5,15.17,2.4,Anna Pyatykh,RUS,04.04.81,2,Athínai,03.07.2006
5,6,15.10,2.7,Keila da Silva Costa,BRA,06.02.83,1,Uberlândia,06.05.2007
6,7,15.08,2.3,Caterine Ibargüen,COL,12.02.84,1,Toronto,21.07.2015
7,8,15.07,2.5,Tereza Marinova,BUL,05.09.77,1,Réthymno,10.06.2000
8,9,15.06,2.3,Olga Saladukha,UKR,04.06.83,1,Stockholm,29.07.2011
9,10,15.05,2.7,Inna Lasovskaya,RUS,17.12.69,1,Sevilla,03.06.1995
10,10,15.05,3.1,Liadagmis Povea,CUB,06.02.96,1,La Habana,08.03.2019
11,12,15.02,2.7,Shanieka Ricketts,JAM,02.02.92,2,Lausanne,26.08.2021
12,13,15.01,2.2,Hrysopiyí Devetzí,GRE,02.01.76,1,Athínai,15.06.2007
13,14,15.00,2.5,Tatyana Lebedeva,RUS,21.07.76,2,Réthymno,10.06.2000
14,14,15.00,3.1,Ashia Hansen,GBR,05.12.71,1,München,10.08.2002
15,14,15.00,2.2,Yargeris Savigne,CUB,13.11.84,1,Bilbao,20.06.2009
16,14,15.00,2.5,Nadezhda Alekhina,RUS,22.09.78,1,Saransk,15.07.2010
17,14,15.00,2.1,Liadagmis Povea,CUB,06.02.96,1,La Habana,18.05.2019
18,19,14.99,6.8,Olena Hovorova,UKR,18.09.73,1,Palma de Mallorca,11.07.1999
19,20,14.98A,3.8,Caterine Ibargüen,COL,12.02.84,1,Medellín,27.06.2014
20,20,14.98,2.3,Yekaterina Koneva,RUS,25.09.88,1,Cheboksary,20.06.2015
21,22,14.95,2.9,Yargeris Savigne,CUB,13.11.84,2,Barcelona,19.07.2008
22,23,14.94,2.3,Sárka Kaspárková,CZE,20.05.71,2,Fukuoka,13.09.1997
23,23,14.94,2.4,Tatyana Lebedeva,RUS,21.07.76,1,Gateshead,19.08.2001
24,23,14.94,2.4,Olga Saladukha,UKR,04.06.83,1,Milano,18.09.2011
25,26,14.93,2.5,Sárka Kaspárková,CZE,20.05.71,2,Villeneuve d'Ascq,11.07.1998
26,26,14.93,2.8,Trecia Smith,JAM,05.11.75,1,Kingston,26.06.2004
