,0,1,2,3,4,5,6,7
0,1,15.15,3.0,Anna Pyatykh,RUS,04.04.81,Athínai,03.07.2006
1,2,15.12,,Yargeris Savigne,CUB,13.11.84,Thessaloníki,09.07.2008
2,3,15.09,4.5,Keila da Silva Costa,BRA,06.02.83,Uberlândia,06.05.2007
3,4,15.02,,Yargeris Savigne,CUB,13.11.84,Thessaloníki,09.07.2008
4,5,15.01,2.4,Caterine Ibargüen,COL,12.02.84,Eugene,30.05.2015
5,6,15.00,2.1,Trecia Smith,JAM,05.11.75,Helsinki,26.07.2006
6,6,15.00,3.7,Keila da Silva Costa,BRA,06.02.83,Uberlândia,06.05.2007
7,8,14.95,3.0,Tatyana Lebedeva,RUS,21.07.76,Réthymno,10.06.2000
8,9,14.93,2.4,Sárka Kaspárková,CZE,20.05.71,Villeneuve d'Ascq,11.07.1998
9,9,14.93,2.1,Françoise Mbango Etone,CMR,14.04.76,Barcelona,19.07.2008
10,11,14.92,4.0,Tatyana Lebedeva,RUS,21.07.76,Réthymno,10.06.2000
11,12,14.91A,3.5,Magdelin Martínez,ITA,10.02.76,Sestriere,01.08.2004
12,12,14.91,3.5,Trecia Smith,JAM,05.11.75,Helsinki,26.07.2006
13,12,14.91,2.5,Yargeris Savigne,CUB,13.11.84,Bilbao,20.06.2009
14,15,14.90,4.3,Tatyana Lebedeva,RUS,21.07.76,Athínai,03.07.2006
15,16,14.89,2.4,Anna Pyatykh,RUS,04.04.81,Athínai,03.07.2006
16,16,14.89,2.2,Yargeris Savigne,CUB,13.11.84,Caracas,11.05.2007
17,16,14.89,2.1,Olga Saladukha,UKR,04.06.83,Stockholm,29.07.2011
18,19,14.88,2.7,Yargeris Savigne,CUB,13.11.84,Athínai,03.07.2006
19,19,14.88,2.1,Caterine Ibargüen,COL,12.02.84,Toronto,21.07.2015
20,19,14.88,3.0,Liadagmis Povea,CUB,06.02.96,La Habana,08.03.2019
21,22,14.87,4.0,Tereza Marinova,BUL,05.09.77,Réthymno,10.06.2000
22,23,14.86,2.3,Nadezhda Alekhina,RUS,22.09.78,Saransk,15.07.2010
23,24,14.85,2.2,Anna Pyatykh,RUS,04.04.81,Athínai,03.07.2006
24,25,14.84,2.7,Sárka Kaspárková,CZE,20.05.71,Fukuoka,13.09.1997
25,25,14.84,3.1,Liadagmis Povea,CUB,06.02.96,La Habana,08.03.2019
26,27,14.83,3.3,Yargeris Savigne,CUB,13.11.84,Stockholm,29.07.2011
27,28,14.82,2.1,Françoise Mbango Etone,CMR,14.04.76,Barcelona,19.07.2008
28,29,14.80,3.0,Tatyana Lebedeva,RUS,21.07.76,Réthymno,10.06.2000
29,29,14.80,2.3,Françoise Mbango Etone,CMR,14.04.76,Bordeaux,02.07.2008
30,29,14.80,2.1,Olga Saladukha,UKR,04.06.83,Barcelona,31.07.2010
31,32,14.78,2.6,Tatyana Lebedeva,RUS,21.07.76,Réthymno,10.06.2000
32,33,14.76,2.3,Ashia Hansen,GBR,05.12.71,Fukuoka,13.09.1997
33,33,14.76,3.9,Caterine Ibargüen,COL,12.02.84,Barranquilla,01.08.2018
34,35,14.75,2.8,Tereza Marinova,BUL,05.09.77,Réthymno,10.06.2000
35,35,14.75,3.1,Keila da Silva Costa,BRA,06.02.83,Uberlândia,06.05.2007
36,37,14.74,2.1,Yargeris Savigne,CUB,13.11.84,Osaka,31.08.2007
