,0,1,2,3,4,5,6,7
0,1,15.17,+1.0,Tatyana Lebedeva,RUS,21.07.76,Beijing,17.08.2008
1,2,15.0,+1.2,Tatyana Lebedeva,RUS,21.07.76,Beijing,17.08.2008
2,3,14.96,+0.8,Hrysopiyí Devetzí,GRE,02.01.76,Beijing,17.08.2008
3,4,14.84,,Iva Prandzheva,BUL,15.02.72,Atlanta,31.07.1996
4,5,14.81,+0.4,Tatyana Lebedeva,RUS,21.07.76,Rieti,07.09.2008
5,5,14.81,-0.4,Tatyana Lebedeva,RUS,21.07.76,Shanghai,20.09.2008
6,7,14.78,+1.1,Anna Pyatykh,RUS,04.04.81,Osaka,31.08.2007
7,7,14.78,±0.0,Tatyana Lebedeva,RUS,21.07.76,Shanghai,20.09.2008
8,9,14.75,+0.3,Hrysopiyí Devetzí,GRE,02.01.76,Osaka,31.08.2007
9,9,14.75,+1.5,Hrysopiyí Devetzí,GRE,02.01.76,Athínai,15.06.2008
10,11,14.73,-0.3,Tatyana Lebedeva,RUS,21.07.76,Rovereto,10.09.2008
11,12,14.68,-0.4,Tatyana Lebedeva,RUS,21.07.76,Shanghai,20.09.2009
12,13,14.67,+2.0,Hrysopiyí Devetzí,GRE,02.01.76,Barcelona,19.07.2008
13,14,14.66,,Inessa Kravets,UKR,05.10.66,Nice,21.07.1993
14,15,14.65,+0.2,Hrysopiyí Devetzí,GRE,02.01.76,Stuttgart,23.09.2007
15,15,14.65,±0.0,Hrysopiyí Devetzí,GRE,02.01.76,Istanbul,21.06.2008
16,17,14.63,±0.0,Tatyana Lebedeva,RUS,21.07.76,Shanghai,20.09.2008
17,18,14.62,+0.9,Hrysopiyí Devetzí,GRE,02.01.76,Barcelona,19.07.2008
18,19,14.61,+0.6,Hrysopiyí Devetzí,GRE,02.01.76,Istanbul,21.06.2008
19,19,14.61,+0.7,Tatyana Lebedeva,RUS,21.07.76,Stuttgart,14.09.2008
20,21,14.55,-0.2,Anna Pyatykh,RUS,04.04.81,Osaka,31.08.2007
21,21,14.55,+0.8,Hrysopiyí Devetzí,GRE,02.01.76,Athínai,15.06.2008
22,23,14.54,-0.4,Anna Pyatykh,RUS,04.04.81,Tula,03.08.2007
23,23,14.54,+0.9,Tatyana Lebedeva,RUS,21.07.76,Cheboksary,04.07.2012
24,25,14.51,,Inessa Kravets,UKR,05.10.66,Nice,21.07.1993
25,25,14.51,,Tatyana Lebedeva,RUS,21.07.76,Cheboksary,04.07.2012
26,27,14.49,-0.4,Hrysopiyí Devetzí,GRE,02.01.76,Barcelona,19.07.2008
27,27,14.49,+0.2,Tatyana Lebedeva,RUS,21.07.76,Shanghai,20.09.2008
28,29,14.47,,Tatyana Lebedeva,RUS,21.07.76,Cheboksary,04.07.2012
29,30,14.46,+1.9,Anna Pyatykh,RUS,04.04.81,Rieti,09.09.2007
30,30,14.46,-0.4,Tatyana Lebedeva,RUS,21.07.76,Rovereto,10.09.2008
31,32,14.45,,Inessa Kravets,UKR,05.10.66,Nice,21.07.1993
32,32,14.45,-0.2,Anna Pyatykh,RUS,04.04.81,Tula,03.08.2007
33,32,14.45,+2.0,Anna Pyatykh,RUS,04.04.81,Rieti,09.09.2007
34,32,14.45,±0.0,Tatyana Lebedeva,RUS,21.07.76,Rieti,07.09.2008
35,32,14.45,+0.2,Tatyana Lebedeva,RUS,21.07.76,Stuttgart,14.09.2008
36,37,14.4,,Inessa Kravets,UKR,05.10.66,Nice,21.07.1993
37,37,14.4,±0.0,Tatyana Lebedeva,RUS,21.07.76,Beijing,17.08.2008
