,0,1,2,3,4,5,6,7
0,1,63:44,Yalemzerf Yehualaw,ETH,03.08.99,1,Larne,29.08.2021
1,2,67:22,Betsy Saina,KEN,30.06.88,1,Glasgow,02.10.2016
2,3,67:59,Ingrid Kristiansen,NOR,21.03.56,1,Oslo,13.09.1986
3,4,68:36,Simona Staicu,ROU,05.05.71,1,Nyíregyháza,01.04.2001
4,5,68:52,Helah Kiprop,KEN,07.04.85,2,Glasgow,02.10.2016
5,6,69:27,Beáta Rakonczai,HUN,25.06.77,2,Nyíregyháza,01.04.2001
6,7,69:42,Genoveva Kigen Chelagat,KEN,09.08.80,1,Chihuahua,29.10.2006
7,8,69:45,Vane Nyamoke,KEN,,2,Larne,29.08.2021
8,9,69:47,Nadezhda Ilyina,RUS,02.04.64,1,Lisboa,13.03.1993
9,10,69:51,Magdalena Velencia Jimenez,MEX,25.05.83,2,Chihuahua,29.10.2006
10,11,70:02,Maria Manuela Dias,POR,19.06.63,2,Lisboa,13.03.1993
11,12,70:03,Irma Heeren,NED,16.04.67,1,Egmond aan Zee,10.01.1999
12,13,70:04,Tatyana Pozdnyakova,UKR,04.03.56,3,Lisboa,13.03.1993
13,14,70:06,Maria Rebelo,FRA,29.01.56,4,Lisboa,13.03.1993
14,15,70:21,María Luisa Larraga,ESP,10.12.70,1,Zaragoza,10.05.1998
15,16,70:23,Véronique Marot,GBR,16.09.55,1,Bath,16.03.1986
16,17,70:24,Neirah Asiba,KEN,15.07.81,3,Chihuahua,29.10.2006
17,18,70:27,Tegla Loroupe,KEN,09.05.73,2,Egmond aan Zee,10.01.1999
18,19,70:29,Rose Harvey,GBR,25.08.92,3,Larne,29.08.2021
