,0,1,2,3,4,5,6,7
0,1,68:08A,Georgina Rono,KEN,19.05.84,1,Nairobi,08.03.2015
1,2,68:11A,Pasalina Chepkorir Kipkoech,KEN,22.12.88,1,Nairobi,28.10.2012
2,3,68:13A,Mercy Kibarus,KEN,25.02.84,2,Nairobi,08.03.2015
3,4,68:23A,Caroline Kilel,KEN,21.03.81,3,Nairobi,08.03.2015
4,5,68:37,Rosa Mota,POR,29.06.58,1,Quebec,11.06.1989
5,6,68:42A,Mercy Jemutai,KEN,94,4,Nairobi,08.03.2015
6,7,69:03,Carole Rouillard,CAN,15.03.60,1,Quebec,10.06.1990
7,8,69:05A,Valentine Jepkorir Kipketer,KEN,05.01.93,1,Nairobi,06.03.2016
8,9,69:07,Terry Foreman,USA,48,1,Beaumont,18.10.1986
9,10,69:09A,Joyciline Jepkosgei,KEN,08.12.93,2,Nairobi,06.03.2016
10,11,69:27,Masako Chiba,JPN,18.07.76,1,Fukuoka,31.01.1999
11,12,69:28,Carla Beurskens,NED,10.02.52,1,Den Haag,05.04.1986
12,13,70:06,Maria Albertina Dias,POR,26.04.65,1,Ovar,05.10.1992
13,14,70:07,Chantal Dällenbach,FRA,24.10.62,1,Thun,30.03.1997
