,0,1,2,3,4,5,6,7
0,1,2:24:13,Askale Merachi,ETH,87,1,Santa Monica,24.03.2019
1,2,2:25:55,Cynthia Cherop,KEN,20.03.95,2,Santa Monica,24.03.2019
2,3,2:26:16,Lucy Karimi,KEN,09.10.86,3,Santa Monica,24.03.2019
3,4,2:27:33,Volha Mazurenak,BLR,14.04.89,1,Sacramento,07.12.2014
4,5,2:27:37,Amane Gobena,ETH,01.09.82,1,Santa Monica,09.03.2014
5,6,2:28:04,Tigist Tufa,ETH,26.01.87,2,Santa Monica,09.03.2014
6,7,2:28:24,Madina Biktagirova,RUS,20.09.64,1,Nagano,20.04.2003
7,8,2:28:41,Valentina Yegorova,RUS,16.02.64,1,Nagano,18.04.1999
8,9,2:28:48,Lauren Kleppin,USA,22.11.88,3,Santa Monica,09.03.2014
9,10,2:28:59,Elfenesh Alemu,ETH,10.06.75,2,Nagano,18.04.1999
10,11,2:29:06,Alina Ivanova,RUS,16.03.69,2,Nagano,20.04.2003
11,12,2:29:21,Nicole Carroll,AUS,14.01.72,1,Sacramento,05.12.1999
